# iter	loss_total	loss_res	loss_ics	loss_bcs	l2_u	lambda_ics	lambda_bcs
0.00000000e+00	1.13270303e+04	1.13247178e+04	7.36489773e-01	1.57616258e+00	1.50741541e+00	7.59696655e+01	7.35421143e+01
1.00000000e+02	3.67849365e+03	3.54512622e+03	2.26472273e-01	1.32189059e+00	1.60312796e+00	8.01351089e+01	8.33988495e+01
2.00000000e+02	1.42786292e+03	1.24698389e+03	1.38170266e+00	5.52403331e-01	1.53238332e+00	9.26970673e+01	9.70149612e+01
3.00000000e+02	4.95992401e+02	4.61438171e+02	2.33389765e-01	1.91016659e-01	1.10423613e+00	5.59582367e+01	1.24626366e+02
4.00000000e+02	9.17375565e+01	8.02483139e+01	8.64999965e-02	4.32278849e-02	7.30914772e-01	5.02242393e+01	1.46001129e+02
5.00000000e+02	6.26162682e+01	4.61523209e+01	3.42308372e-01	2.23524459e-02	5.46986818e-01	3.90071564e+01	1.60738556e+02
6.00000000e+02	1.82388382e+01	1.66322365e+01	6.34842739e-03	5.99763636e-03	4.94797856e-01	4.04113960e+01	2.10230072e+02
7.00000000e+02	2.30658741e+01	1.98182144e+01	1.21953301e-02	1.29314261e-02	4.14142221e-01	5.23806915e+01	1.90950409e+02
8.00000000e+02	1.73172493e+01	1.35928192e+01	7.80009553e-02	3.09005380e-03	3.90357524e-01	3.52648926e+01	2.48202393e+02
9.00000000e+02	9.31795979e+00	8.48243332e+00	6.54133782e-03	2.88751000e-03	4.05716747e-01	3.40296249e+01	1.97384140e+02
1.00000000e+03	1.14502411e+01	1.08075523e+01	4.86591132e-03	2.48689647e-03	3.68237972e-01	2.89842167e+01	2.11318237e+02
1.10000000e+03	4.85376968e+01	3.78986893e+01	1.09722733e-01	4.17336170e-03	3.68628472e-01	8.07726364e+01	2.45476532e+02
1.20000000e+03	1.41848660e+01	1.24932108e+01	3.19252983e-02	1.50723686e-03	3.59406054e-01	4.32431412e+01	2.06174271e+02
1.30000000e+03	7.09585285e+00	6.19380522e+00	1.48804970e-02	1.56586827e-03	3.18069518e-01	4.14383354e+01	1.61629974e+02
1.40000000e+03	6.94269896e+00	6.06514835e+00	1.72829777e-02	1.69916369e-03	3.08566600e-01	3.86925430e+01	1.58218277e+02
