# iteration  l2_NN  l2_FF  l2_ST_FF
0.000000e+00 1.962501e+00 3.118017e+00 1.161093e+00
1.000000e+02 1.000019e+00 3.046784e+00 9.969853e-01
2.000000e+02 1.001597e+00 2.921527e+00 9.929767e-01
3.000000e+02 1.000714e+00 2.719583e+00 9.849773e-01
4.000000e+02 1.000037e+00 2.517525e+00 9.637199e-01
5.000000e+02 1.005415e+00 2.367876e+00 9.213749e-01
6.000000e+02 1.006086e+00 2.161326e+00 7.976912e-01
7.000000e+02 1.001126e+00 1.976201e+00 4.387296e-01
8.000000e+02 1.002403e+00 1.829237e+00 2.625496e-01
9.000000e+02 1.000116e+00 1.665833e+00 1.983815e-01
1.000000e+03 1.004022e+00 1.553564e+00 1.640532e-01
1.100000e+03 1.000246e+00 1.442535e+00 1.436840e-01
1.200000e+03 1.000079e+00 1.339770e+00 1.243393e-01
1.300000e+03 1.000418e+00 1.267591e+00 1.084678e-01
1.400000e+03 1.000502e+00 1.214736e+00 1.022322e-01
1.500000e+03 1.003538e+00 1.155056e+00 9.113086e-02
1.600000e+03 1.001090e+00 1.110023e+00 8.679322e-02
1.700000e+03 1.001515e+00 1.076444e+00 7.815532e-02
1.800000e+03 1.000350e+00 1.054917e+00 7.058214e-02
1.900000e+03 1.003390e+00 1.036112e+00 6.776610e-02
2.000000e+03 1.000021e+00 1.026312e+00 6.105749e-02
2.100000e+03 1.001385e+00 1.015888e+00 5.423252e-02
2.200000e+03 1.002151e+00 1.010310e+00 4.824485e-02
2.300000e+03 1.001264e+00 1.006661e+00 4.655052e-02
2.400000e+03 1.000487e+00 1.003853e+00 5.037702e-02
2.500000e+03 1.000770e+00 1.001928e+00 4.602919e-02
2.600000e+03 1.000249e+00 1.001264e+00 3.787275e-02
2.700000e+03 1.000181e+00 1.000993e+00 4.475322e-02
2.800000e+03 1.000736e+00 1.000232e+00 3.726671e-02
2.900000e+03 1.000021e+00 1.000271e+00 3.481220e-02
3.000000e+03 1.000583e+00 1.000022e+00 3.225354e-02
3.100000e+03 1.001645e+00 1.000038e+00 3.489499e-02
3.200000e+03 1.000682e+00 9.999942e-01 3.898554e-02
3.300000e+03 1.004724e+00 9.999979e-01 3.212123e-02
3.400000e+03 1.000009e+00 9.999823e-01 2.902122e-02
3.500000e+03 1.000005e+00 9.999835e-01 2.853963e-02
3.600000e+03 1.004009e+00 1.000013e+00 2.693657e-02
3.700000e+03 1.002683e+00 1.000095e+00 3.237551e-02
3.800000e+03 1.000007e+00 9.999939e-01 2.473512e-02
3.900000e+03 1.002289e+00 1.000011e+00 4.058930e-02
4.000000e+03 1.000061e+00 9.999897e-01 2.176669e-02
4.100000e+03 1.000958e+00 1.000005e+00 2.236942e-02
4.200000e+03 1.001555e+00 9.999928e-01 1.938795e-02
4.300000e+03 1.000912e+00 1.000001e+00 2.072445e-02
4.400000e+03 1.000137e+00 9.999831e-01 2.078616e-02
4.500000e+03 1.000087e+00 9.999963e-01 2.043035e-02
4.600000e+03 1.001775e+00 1.000007e+00 2.323372e-02
4.700000e+03 1.001678e+00 9.999946e-01 2.384108e-02
4.800000e+03 1.000284e+00 9.999967e-01 1.918210e-02
4.900000e+03 1.000376e+00 9.999962e-01 2.250194e-02
5.000000e+03 1.000115e+00 9.999899e-01 1.976710e-02
5.100000e+03 1.000892e+00 9.999903e-01 1.989053e-02
5.200000e+03 1.001642e+00 9.999966e-01 1.582887e-02
5.300000e+03 1.000565e+00 1.000006e+00 1.724473e-02
5.400000e+03 1.000180e+00 9.999923e-01 2.709997e-02
5.500000e+03 1.000044e+00 1.000012e+00 1.653304e-02
5.600000e+03 1.000586e+00 9.999859e-01 2.311076e-02
5.700000e+03 1.000561e+00 9.999904e-01 1.709039e-02
5.800000e+03 1.001977e+00 9.999892e-01 2.191350e-02
5.900000e+03 1.000764e+00 9.999938e-01 2.089997e-02
6.000000e+03 1.000269e+00 9.999891e-01 1.644656e-02
6.100000e+03 1.001798e+00 1.000031e+00 1.413909e-02
6.200000e+03 1.000462e+00 1.000013e+00 2.377936e-02
6.300000e+03 1.000044e+00 9.999938e-01 2.008285e-02
6.400000e+03 1.000925e+00 1.000008e+00 2.377387e-02
6.500000e+03 1.000098e+00 9.999994e-01 1.637281e-02
6.600000e+03 1.000355e+00 1.000036e+00 1.356432e-02
6.700000e+03 1.000652e+00 9.999888e-01 1.353030e-02
6.800000e+03 1.000176e+00 9.999963e-01 1.462432e-02
6.900000e+03 1.000252e+00 1.000007e+00 1.416149e-02
7.000000e+03 1.000315e+00 1.000008e+00 1.365899e-02
7.100000e+03 1.005082e+00 1.000001e+00 1.815354e-02
7.200000e+03 1.000039e+00 1.000002e+00 1.317983e-02
7.300000e+03 1.000057e+00 9.999957e-01 1.589409e-02
7.400000e+03 1.000101e+00 9.999959e-01 2.467009e-02
7.500000e+03 1.000526e+00 1.000007e+00 1.406005e-02
7.600000e+03 1.000132e+00 1.000017e+00 1.910049e-02
7.700000e+03 1.000938e+00 9.999933e-01 1.660925e-02
7.800000e+03 1.000004e+00 9.999973e-01 1.252992e-02
7.900000e+03 1.000809e+00 1.000000e+00 1.146196e-02
8.000000e+03 1.000749e+00 1.000029e+00 1.240604e-02
8.100000e+03 1.000044e+00 1.000029e+00 1.124845e-02
8.200000e+03 1.000542e+00 1.000000e+00 1.264886e-02
8.300000e+03 1.000159e+00 9.999981e-01 1.304664e-02
8.400000e+03 1.000529e+00 9.999949e-01 1.533797e-02
