# iteration  loss_ic  loss_bc  loss_res  l2_error
0.000000e+00 2.722157e+00 4.422973e+00 5.679055e+05 3.118017e+00
1.000000e+02 2.237472e+00 3.579067e+00 9.377682e+03 3.046784e+00
2.000000e+02 2.172901e+00 3.228264e+00 4.439668e+03 2.921527e+00
3.000000e+02 1.723619e+00 2.743150e+00 2.329725e+03 2.719583e+00
4.000000e+02 1.816745e+00 2.300864e+00 1.973609e+03 2.517525e+00
5.000000e+02 1.470441e+00 1.973939e+00 1.336240e+03 2.367876e+00
6.000000e+02 1.362137e+00 1.581034e+00 7.745723e+02 2.161326e+00
7.000000e+02 1.240156e+00 1.248179e+00 5.878256e+02 1.976201e+00
8.000000e+02 1.147821e+00 1.008178e+00 4.256824e+02 1.829237e+00
9.000000e+02 8.874937e-01 7.620326e-01 3.682376e+02 1.665833e+00
1.000000e+03 7.835037e-01 6.070124e-01 2.619603e+02 1.553564e+00
1.100000e+03 7.889185e-01 4.651064e-01 4.145930e+02 1.442535e+00
1.200000e+03 6.832110e-01 3.419662e-01 3.047120e+02 1.339770e+00
1.300000e+03 6.333988e-01 2.618650e-01 2.001728e+02 1.267591e+00
1.400000e+03 6.462604e-01 2.053541e-01 1.776248e+02 1.214736e+00
1.500000e+03 5.454388e-01 1.443089e-01 1.228450e+02 1.155056e+00
1.600000e+03 6.033754e-01 1.004922e-01 1.395907e+02 1.110023e+00
1.700000e+03 5.119361e-01 6.827556e-02 1.305606e+02 1.076444e+00
1.800000e+03 5.496402e-01 4.850291e-02 1.093209e+02 1.054917e+00
1.900000e+03 5.053397e-01 3.158543e-02 1.007392e+02 1.036112e+00
2.000000e+03 5.454688e-01 2.303133e-02 8.317511e+01 1.026312e+00
2.100000e+03 5.258872e-01 1.358998e-02 7.156772e+01 1.015888e+00
2.200000e+03 5.902161e-01 8.869268e-03 5.442111e+01 1.010310e+00
2.300000e+03 4.583815e-01 5.810453e-03 7.523723e+01 1.006661e+00
2.400000e+03 5.524948e-01 3.330583e-03 5.427842e+01 1.003853e+00
2.500000e+03 4.671804e-01 1.683624e-03 4.393342e+01 1.001928e+00
2.600000e+03 4.967496e-01 1.124310e-03 5.080766e+01 1.001264e+00
2.700000e+03 5.034957e-01 8.913785e-04 3.506241e+01 1.000993e+00
2.800000e+03 5.092536e-01 2.349199e-04 3.446367e+01 1.000232e+00
2.900000e+03 5.114688e-01 2.580201e-04 4.253548e+01 1.000271e+00
3.000000e+03 4.935805e-01 3.929635e-05 3.959211e+01 1.000022e+00
3.100000e+03 4.542019e-01 6.435359e-05 3.181754e+01 1.000038e+00
3.200000e+03 4.931638e-01 1.859460e-05 2.681433e+01 9.999942e-01
3.300000e+03 4.954430e-01 2.193296e-05 3.093084e+01 9.999979e-01
3.400000e+03 5.290763e-01 8.386914e-06 2.628268e+01 9.999823e-01
3.500000e+03 4.771911e-01 8.165225e-06 1.944385e+01 9.999835e-01
3.600000e+03 5.125368e-01 2.641948e-05 2.540840e+01 1.000013e+00
3.700000e+03 5.373808e-01 1.051526e-04 2.087825e+01 1.000095e+00
3.800000e+03 5.639565e-01 9.545060e-06 2.121534e+01 9.999939e-01
3.900000e+03 4.882604e-01 2.683208e-05 2.126522e+01 1.000011e+00
4.000000e+03 4.867039e-01 9.233619e-06 1.619413e+01 9.999897e-01
4.100000e+03 5.052244e-01 2.031695e-05 1.579685e+01 1.000005e+00
4.200000e+03 5.559934e-01 1.579628e-05 1.287020e+01 9.999928e-01
4.300000e+03 4.863979e-01 1.954741e-05 1.710816e+01 1.000001e+00
4.400000e+03 5.486259e-01 3.309199e-06 1.120480e+01 9.999831e-01
4.500000e+03 4.554338e-01 4.053764e-06 1.267744e+01 9.999963e-01
4.600000e+03 5.169920e-01 2.196060e-05 9.999192e+00 1.000007e+00
4.700000e+03 5.122137e-01 8.143478e-06 1.231633e+01 9.999946e-01
4.800000e+03 4.770606e-01 8.512137e-06 9.868826e+00 9.999967e-01
4.900000e+03 5.445781e-01 8.476952e-06 9.177104e+00 9.999962e-01
5.000000e+03 5.065001e-01 9.310270e-06 9.563808e+00 9.999899e-01
5.100000e+03 5.018567e-01 2.479185e-06 9.397812e+00 9.999903e-01
5.200000e+03 5.299993e-01 1.114208e-05 7.376402e+00 9.999966e-01
5.300000e+03 5.069567e-01 1.710275e-05 9.282921e+00 1.000006e+00
5.400000e+03 5.083048e-01 1.683319e-06 7.405829e+00 9.999923e-01
5.500000e+03 5.069809e-01 1.966284e-05 7.907159e+00 1.000012e+00
5.600000e+03 5.266024e-01 2.287077e-06 6.669383e+00 9.999859e-01
5.700000e+03 5.130550e-01 2.638402e-06 7.609513e+00 9.999904e-01
5.800000e+03 5.087333e-01 1.435325e-06 5.591614e+00 9.999892e-01
5.900000e+03 4.833870e-01 1.769936e-06 6.198070e+00 9.999938e-01
6.000000e+03 5.588049e-01 2.981641e-06 4.868406e+00 9.999891e-01
6.100000e+03 5.075649e-01 3.279580e-05 4.623033e+00 1.000031e+00
6.200000e+03 4.701080e-01 2.095459e-05 4.943494e+00 1.000013e+00
6.300000e+03 5.446008e-01 2.997052e-06 5.335186e+00 9.999938e-01
6.400000e+03 5.145811e-01 1.442794e-05 5.475645e+00 1.000008e+00
6.500000e+03 5.242054e-01 4.721661e-06 5.758089e+00 9.999994e-01
6.600000e+03 5.092980e-01 3.452848e-05 3.816458e+00 1.000036e+00
6.700000e+03 5.084818e-01 1.609191e-06 6.203318e+00 9.999888e-01
6.800000e+03 5.055265e-01 1.174854e-06 3.173432e+00 9.999963e-01
6.900000e+03 5.160218e-01 1.253328e-05 3.218158e+00 1.000007e+00
7.000000e+03 4.980671e-01 8.231455e-06 4.299482e+00 1.000008e+00
7.100000e+03 4.695776e-01 6.190285e-06 2.663893e+00 1.000001e+00
7.200000e+03 5.328122e-01 9.740678e-06 3.357651e+00 1.000002e+00
7.300000e+03 5.532350e-01 3.158876e-06 4.002427e+00 9.999957e-01
7.400000e+03 5.480900e-01 1.293297e-06 2.537037e+00 9.999959e-01
7.500000e+03 5.061058e-01 5.336218e-06 2.671352e+00 1.000007e+00
7.600000e+03 5.074893e-01 2.211238e-05 3.013652e+00 1.000017e+00
7.700000e+03 4.567565e-01 1.207053e-06 2.432499e+00 9.999933e-01
7.800000e+03 4.669918e-01 3.377424e-06 2.561074e+00 9.999973e-01
7.900000e+03 4.578884e-01 1.262835e-05 2.725527e+00 1.000000e+00
8.000000e+03 4.995425e-01 2.887529e-05 2.613348e+00 1.000029e+00
8.100000e+03 4.788916e-01 3.018461e-05 2.647470e+00 1.000029e+00
8.200000e+03 4.953999e-01 3.600193e-06 2.154849e+00 1.000000e+00
8.300000e+03 4.950420e-01 1.378265e-06 2.612444e+00 9.999981e-01
8.400000e+03 5.036441e-01 2.730892e-06 2.276893e+00 9.999949e-01
8.500000e+03 4.651113e-01 5.194468e-07 1.896826e+00 9.999962e-01
8.600000e+03 5.049321e-01 4.038017e-06 2.438903e+00 9.999999e-01
8.700000e+03 4.899588e-01 2.614391e-05 2.462994e+00 1.000025e+00
8.800000e+03 5.406096e-01 2.607605e-06 1.716686e+00 9.999978e-01
8.900000e+03 4.839934e-01 1.059084e-05 1.592846e+00 1.000005e+00
9.000000e+03 5.076458e-01 1.407460e-06 1.663477e+00 9.999963e-01
9.100000e+03 4.776644e-01 1.928653e-05 1.554742e+00 1.000019e+00
9.200000e+03 5.280290e-01 5.544118e-06 1.476048e+00 1.000004e+00
9.300000e+03 5.623484e-01 1.750308e-05 1.050197e+00 1.000016e+00
9.400000e+03 4.944836e-01 2.247711e-05 1.612830e+00 1.000018e+00
9.500000e+03 5.203321e-01 1.587567e-05 1.156213e+00 1.000015e+00
9.600000e+03 4.738679e-01 1.985779e-05 8.276532e-01 1.000020e+00
9.700000e+03 5.253571e-01 3.190945e-07 8.879676e-01 9.999963e-01
9.800000e+03 5.249674e-01 1.552968e-06 1.224858e+00 9.999978e-01
9.900000e+03 5.333284e-01 1.696925e-05 9.972072e-01 1.000016e+00
1.000000e+04 5.094979e-01 3.315101e-06 1.080796e+00 9.999978e-01
1.010000e+04 4.945819e-01 3.930107e-07 9.348583e-01 9.999978e-01
1.020000e+04 4.640184e-01 6.136127e-07 1.056144e+00 9.999967e-01
1.030000e+04 4.904538e-01 2.274082e-05 7.224078e-01 1.000025e+00
1.040000e+04 5.512687e-01 1.916241e-05 8.018651e-01 1.000019e+00
1.050000e+04 5.076295e-01 7.793029e-06 1.094764e+00 1.000013e+00
1.060000e+04 5.959671e-01 1.175745e-05 6.991857e-01 1.000011e+00
1.070000e+04 5.005755e-01 5.597867e-05 8.071733e-01 1.000053e+00
1.080000e+04 4.859175e-01 2.570615e-07 8.438877e-01 9.999974e-01
1.090000e+04 5.234250e-01 5.013662e-06 6.928697e-01 1.000002e+00
1.100000e+04 4.773575e-01 4.667814e-06 8.254364e-01 1.000002e+00
1.110000e+04 4.902640e-01 3.302965e-05 5.678524e-01 1.000034e+00
