# iteration  loss_ic  loss_bc  loss_res  l2_error
0.000000e+00 3.258800e+00 3.863124e+00 2.141908e-01 1.962501e+00
1.000000e+02 4.792803e-01 1.579332e-04 6.571857e-05 1.000019e+00
2.000000e+02 4.806869e-01 9.742149e-04 6.565491e-05 1.001597e+00
3.000000e+02 4.589328e-01 3.206255e-04 2.933802e-05 1.000714e+00
4.000000e+02 5.277055e-01 1.436608e-04 2.777119e-05 1.000037e+00
5.000000e+02 4.642976e-01 2.141867e-03 4.890228e-05 1.005415e+00
6.000000e+02 4.981795e-01 8.151562e-03 2.371729e-05 1.006086e+00
7.000000e+02 5.344222e-01 2.955349e-03 1.857447e-05 1.001126e+00
8.000000e+02 5.259925e-01 2.820079e-04 2.752930e-04 1.002403e+00
9.000000e+02 4.845387e-01 7.605309e-04 1.206798e-05 1.000116e+00
1.000000e+03 5.027435e-01 4.417397e-04 1.699849e-05 1.004022e+00
1.100000e+03 5.877829e-01 4.282888e-04 9.527918e-05 1.000246e+00
1.200000e+03 4.629207e-01 8.612826e-05 1.670034e-05 1.000079e+00
1.300000e+03 4.868307e-01 3.459490e-03 5.100789e-05 1.000418e+00
1.400000e+03 5.395536e-01 7.735960e-05 2.037068e-04 1.000502e+00
1.500000e+03 4.722124e-01 3.424558e-04 2.191557e-05 1.003538e+00
1.600000e+03 5.241336e-01 1.955716e-03 2.752446e-05 1.001090e+00
1.700000e+03 4.710959e-01 9.849879e-04 2.225770e-05 1.001515e+00
1.800000e+03 4.951828e-01 7.164839e-04 3.277478e-05 1.000350e+00
1.900000e+03 4.954132e-01 1.905388e-04 5.205055e-05 1.003390e+00
2.000000e+03 5.325805e-01 2.646445e-04 1.052625e-06 1.000021e+00
2.100000e+03 5.214459e-01 3.442669e-03 8.924733e-07 1.001385e+00
2.200000e+03 5.773185e-01 2.629742e-03 1.253566e-05 1.002151e+00
2.300000e+03 4.518009e-01 2.021855e-04 7.409329e-06 1.001264e+00
2.400000e+03 5.403724e-01 1.076827e-04 2.338783e-05 1.000487e+00
2.500000e+03 4.633098e-01 2.913954e-04 7.089070e-06 1.000770e+00
2.600000e+03 4.946674e-01 8.556083e-04 1.302818e-05 1.000249e+00
2.700000e+03 5.017944e-01 1.297214e-04 4.253718e-06 1.000181e+00
2.800000e+03 5.127386e-01 3.274327e-03 1.703230e-06 1.000736e+00
2.900000e+03 5.112664e-01 1.288761e-05 6.746284e-06 1.000021e+00
3.000000e+03 4.936265e-01 1.242040e-05 1.418506e-05 1.000583e+00
3.100000e+03 4.534757e-01 1.855614e-03 1.854703e-05 1.001645e+00
3.200000e+03 4.934454e-01 1.569278e-04 5.097879e-05 1.000682e+00
3.300000e+03 5.084810e-01 6.717434e-03 3.541627e-05 1.004724e+00
3.400000e+03 5.289247e-01 1.876947e-04 8.396147e-06 1.000009e+00
3.500000e+03 4.784622e-01 4.097787e-04 7.122230e-07 1.000005e+00
3.600000e+03 5.154611e-01 1.590516e-03 1.729879e-06 1.004009e+00
3.700000e+03 5.399004e-01 4.983559e-04 3.559849e-05 1.002683e+00
3.800000e+03 5.645413e-01 4.201252e-05 4.693101e-06 1.000007e+00
3.900000e+03 4.916898e-01 2.163583e-03 2.214646e-06 1.002289e+00
4.000000e+03 4.869515e-01 2.878263e-04 6.713482e-06 1.000061e+00
4.100000e+03 5.062976e-01 2.071769e-03 2.378169e-06 1.000958e+00
4.200000e+03 5.584434e-01 1.347642e-03 5.471351e-06 1.001555e+00
4.300000e+03 4.907148e-01 1.350867e-03 1.872384e-06 1.000912e+00
4.400000e+03 5.477423e-01 4.179775e-04 4.511845e-07 1.000137e+00
4.500000e+03 4.577581e-01 5.153100e-04 1.706756e-06 1.000087e+00
4.600000e+03 5.107446e-01 2.609762e-03 3.501036e-06 1.001775e+00
4.700000e+03 5.103462e-01 8.777764e-04 1.587227e-06 1.001678e+00
4.800000e+03 4.756333e-01 1.667517e-03 6.274575e-07 1.000284e+00
4.900000e+03 5.443076e-01 2.603945e-04 2.008292e-05 1.000376e+00
5.000000e+03 5.070428e-01 9.028397e-05 1.429490e-05 1.000115e+00
5.100000e+03 4.993887e-01 4.601728e-04 7.249765e-07 1.000892e+00
5.200000e+03 5.308475e-01 6.420150e-04 2.749225e-06 1.001642e+00
5.300000e+03 5.096320e-01 5.909171e-04 7.150636e-06 1.000565e+00
5.400000e+03 5.091171e-01 2.958012e-04 4.695343e-06 1.000180e+00
5.500000e+03 5.069997e-01 6.919101e-06 2.327236e-06 1.000044e+00
5.600000e+03 5.267223e-01 1.417382e-05 2.725405e-06 1.000586e+00
5.700000e+03 5.120804e-01 6.088812e-04 1.465192e-06 1.000561e+00
5.800000e+03 5.066385e-01 8.490124e-04 1.906680e-07 1.001977e+00
5.900000e+03 4.917903e-01 1.595073e-03 1.079189e-07 1.000764e+00
6.000000e+03 5.605234e-01 4.018129e-04 9.422506e-07 1.000269e+00
