# iteration  loss_ic  loss_bc  loss_res  l2_error
0.000000e+00 5.338891e-01 6.257390e-02 6.466905e-01 1.161093e+00
1.000000e+02 4.755199e-01 8.072535e-03 1.631459e-02 9.969853e-01
2.000000e+02 4.699292e-01 5.754920e-04 7.010978e-03 9.929767e-01
3.000000e+02 4.476876e-01 5.614743e-04 9.087671e-03 9.849773e-01
4.000000e+02 5.038391e-01 4.659010e-04 8.632123e-03 9.637199e-01
5.000000e+02 4.019559e-01 1.301861e-03 1.650103e-02 9.213749e-01
6.000000e+02 3.064696e-01 1.105003e-03 4.799648e-02 7.976912e-01
7.000000e+02 1.172161e-01 1.148051e-03 3.920191e-02 4.387296e-01
8.000000e+02 4.819066e-02 3.780134e-04 3.231994e-02 2.625496e-01
9.000000e+02 2.074123e-02 3.465438e-04 2.086950e-02 1.983815e-01
1.000000e+03 1.654534e-02 7.693963e-04 1.796665e-02 1.640532e-01
1.100000e+03 1.031155e-02 3.235331e-04 1.072445e-02 1.436840e-01
1.200000e+03 7.515690e-03 2.676007e-04 8.243859e-03 1.243393e-01
1.300000e+03 8.040122e-03 4.085691e-04 7.090591e-03 1.084678e-01
1.400000e+03 6.899307e-03 1.301009e-04 7.560556e-03 1.022322e-01
1.500000e+03 4.301094e-03 1.032189e-04 6.035739e-03 9.113086e-02
1.600000e+03 4.803486e-03 9.388975e-05 4.916105e-03 8.679322e-02
1.700000e+03 4.263190e-03 1.961286e-04 5.296676e-03 7.815532e-02
1.800000e+03 3.950049e-03 3.538092e-04 4.462428e-03 7.058214e-02
1.900000e+03 1.921939e-03 7.543567e-05 4.205666e-03 6.776610e-02
2.000000e+03 1.657946e-03 1.097729e-04 3.956189e-03 6.105749e-02
2.100000e+03 4.346228e-03 1.283776e-04 2.943779e-03 5.423252e-02
2.200000e+03 1.207213e-03 1.697334e-04 2.169698e-03 4.824485e-02
2.300000e+03 3.386538e-03 3.937182e-04 3.012120e-03 4.655052e-02
2.400000e+03 1.318775e-03 1.465251e-04 2.314739e-03 5.037702e-02
2.500000e+03 3.347742e-03 4.723951e-05 2.644006e-03 4.602919e-02
2.600000e+03 8.734258e-04 6.115944e-05 2.803087e-03 3.787275e-02
2.700000e+03 7.764755e-04 1.618863e-04 2.736743e-03 4.475322e-02
2.800000e+03 7.007306e-04 2.481419e-04 2.044818e-03 3.726671e-02
2.900000e+03 6.490989e-04 2.855311e-04 2.272999e-03 3.481220e-02
3.000000e+03 4.166217e-04 4.794530e-05 2.235570e-03 3.225354e-02
3.100000e+03 4.696176e-04 3.865351e-05 3.396601e-03 3.489499e-02
3.200000e+03 5.414233e-04 5.623969e-05 1.400162e-03 3.898554e-02
3.300000e+03 3.755382e-04 3.192822e-05 1.344216e-03 3.212123e-02
3.400000e+03 2.836192e-04 1.346531e-05 1.401298e-03 2.902122e-02
3.500000e+03 3.251441e-04 2.092665e-04 1.671217e-03 2.853963e-02
3.600000e+03 3.122111e-04 2.573341e-05 1.011089e-03 2.693657e-02
3.700000e+03 3.449290e-04 4.675975e-05 1.468861e-03 3.237551e-02
3.800000e+03 3.883294e-04 2.279937e-05 9.975231e-04 2.473512e-02
3.900000e+03 2.855436e-04 3.720442e-04 1.366651e-03 4.058930e-02
4.000000e+03 1.855860e-04 1.715024e-05 7.383252e-04 2.176669e-02
4.100000e+03 3.121734e-04 6.126989e-05 9.803572e-04 2.236942e-02
4.200000e+03 1.957746e-04 8.344836e-06 7.918380e-04 1.938795e-02
4.300000e+03 3.045488e-04 5.382170e-05 8.410025e-04 2.072445e-02
4.400000e+03 2.139753e-04 4.727961e-04 8.782757e-04 2.078616e-02
4.500000e+03 2.897116e-04 1.672845e-04 1.054280e-03 2.043035e-02
4.600000e+03 1.309859e-04 3.406418e-05 6.824411e-04 2.323372e-02
4.700000e+03 1.821107e-04 3.072153e-05 9.487326e-04 2.384108e-02
4.800000e+03 1.369208e-04 7.036941e-06 7.566102e-04 1.918210e-02
4.900000e+03 1.945714e-04 5.033991e-04 7.800955e-04 2.250194e-02
5.000000e+03 1.290362e-04 1.308771e-05 6.402944e-04 1.976710e-02
5.100000e+03 1.567604e-04 8.210912e-05 6.488631e-04 1.989053e-02
5.200000e+03 8.100150e-05 1.996552e-05 5.253836e-04 1.582887e-02
5.300000e+03 4.648288e-04 9.293848e-06 7.960718e-04 1.724473e-02
5.400000e+03 1.203910e-04 3.944849e-04 7.795296e-04 2.709997e-02
5.500000e+03 4.049978e-04 5.038554e-05 5.072993e-04 1.653304e-02
5.600000e+03 1.674517e-04 2.867317e-04 7.576050e-04 2.311076e-02
5.700000e+03 1.494533e-04 6.765946e-05 5.270445e-04 1.709039e-02
5.800000e+03 1.796492e-04 1.571167e-04 6.997067e-04 2.191350e-02
5.900000e+03 1.346681e-04 8.271086e-05 5.808109e-04 2.089997e-02
6.000000e+03 1.332434e-04 8.363095e-05 6.429598e-04 1.644656e-02
6.100000e+03 2.943403e-04 2.039944e-05 4.871103e-04 1.413909e-02
6.200000e+03 8.736135e-05 1.310961e-04 7.102229e-04 2.377936e-02
6.300000e+03 3.352661e-04 3.452660e-04 6.567701e-04 2.008285e-02
6.400000e+03 3.029442e-04 3.390345e-05 5.225813e-04 2.377387e-02
6.500000e+03 1.285122e-04 3.700037e-05 5.835407e-04 1.637281e-02
6.600000e+03 5.802879e-05 1.196099e-05 4.995491e-04 1.356432e-02
6.700000e+03 6.642139e-05 2.548418e-05 4.031639e-04 1.353030e-02
6.800000e+03 7.826327e-05 1.404389e-05 3.894437e-04 1.462432e-02
6.900000e+03 9.065189e-05 6.220635e-05 5.107153e-04 1.416149e-02
7.000000e+03 6.925108e-05 4.215448e-05 3.805612e-04 1.365899e-02
7.100000e+03 7.976906e-05 1.491159e-04 4.873372e-04 1.815354e-02
7.200000e+03 3.174590e-04 3.204479e-05 4.538138e-04 1.317983e-02
7.300000e+03 1.583591e-04 1.208986e-04 4.064221e-04 1.589409e-02
7.400000e+03 5.400900e-05 1.104623e-04 4.050003e-04 2.467009e-02
7.500000e+03 4.892875e-05 4.560342e-05 2.993823e-04 1.406005e-02
7.600000e+03 4.524401e-05 2.385582e-05 4.682718e-04 1.910049e-02
7.700000e+03 1.205411e-04 1.204775e-04 4.080504e-04 1.660925e-02
7.800000e+03 6.411194e-05 6.755319e-06 2.849827e-04 1.252992e-02
7.900000e+03 4.933948e-05 9.234966e-06 3.229681e-04 1.146196e-02
8.000000e+03 7.119448e-05 7.752213e-06 3.955370e-04 1.240604e-02
8.100000e+03 6.704625e-05 9.244834e-06 3.802469e-04 1.124845e-02
8.200000e+03 5.809254e-05 4.580304e-05 2.890195e-04 1.264886e-02
8.300000e+03 1.388330e-04 2.257223e-04 3.829018e-04 1.304664e-02
8.400000e+03 4.876139e-05 9.033011e-05 2.616805e-04 1.533797e-02
8.500000e+03 8.019669e-05 5.508714e-05 2.605824e-04 1.640863e-02
8.600000e+03 5.233268e-05 2.569923e-05 2.999935e-04 1.197385e-02
8.700000e+03 4.282789e-05 6.448906e-05 2.546122e-04 1.618926e-02
8.800000e+03 6.317280e-05 1.347570e-05 3.256726e-04 1.145416e-02
8.900000e+03 1.123433e-04 1.417681e-04 3.178253e-04 1.539182e-02
9.000000e+03 4.201985e-05 8.666666e-06 2.118310e-04 1.298486e-02
9.100000e+03 6.961044e-05 1.102748e-04 3.033993e-04 1.668210e-02
9.200000e+03 5.926386e-05 2.622446e-05 2.452119e-04 9.922074e-03
9.300000e+03 3.500040e-05 1.444473e-04 3.484619e-04 1.196977e-02
9.400000e+03 3.389495e-05 6.513070e-06 2.115857e-04 9.919515e-03
9.500000e+03 1.016872e-04 1.712359e-05 2.805246e-04 1.560127e-02
9.600000e+03 6.427144e-05 4.781482e-05 2.233226e-04 1.161535e-02
9.700000e+03 6.858096e-05 2.041092e-05 2.732372e-04 1.116422e-02
9.800000e+03 2.352505e-05 1.874513e-05 1.892864e-04 1.028670e-02
9.900000e+03 7.338157e-05 2.917924e-05 2.186748e-04 1.309967e-02
1.000000e+04 3.904912e-05 1.991795e-05 2.133061e-04 1.004035e-02
1.010000e+04 4.283568e-05 3.690031e-06 2.365389e-04 1.070751e-02
1.020000e+04 3.198675e-05 6.402927e-05 2.045903e-04 8.632466e-03
1.030000e+04 4.176177e-05 3.071985e-05 2.512991e-04 1.497127e-02
1.040000e+04 6.981241e-05 1.826513e-04 1.964465e-04 2.002285e-02
1.050000e+04 3.808799e-05 8.832338e-06 2.486142e-04 1.053350e-02
1.060000e+04 2.305183e-05 1.521340e-05 2.139861e-04 8.502405e-03
1.070000e+04 1.869266e-05 3.061350e-05 1.750631e-04 8.282434e-03
1.080000e+04 3.757411e-05 1.950079e-05 2.014983e-04 9.488639e-03
1.090000e+04 2.514558e-05 5.708166e-06 1.653699e-04 8.852703e-03
1.100000e+04 4.657726e-05 2.977824e-05 1.924623e-04 9.960942e-03
1.110000e+04 3.081249e-05 4.063368e-06 1.703641e-04 8.492545e-03
1.120000e+04 5.240953e-05 2.017284e-05 1.415778e-04 7.682997e-03
1.130000e+04 4.836814e-05 1.479515e-05 1.945402e-04 8.846138e-03
1.140000e+04 2.901354e-05 4.419113e-06 1.348666e-04 1.122879e-02
1.150000e+04 2.683917e-05 1.787236e-05 1.781070e-04 8.391943e-03
1.160000e+04 2.302535e-05 1.557954e-05 1.870038e-04 8.845295e-03
1.170000e+04 3.320316e-05 8.273782e-05 1.708596e-04 1.243178e-02
1.180000e+04 2.296806e-05 1.261770e-05 2.228370e-04 7.440959e-03
1.190000e+04 4.159332e-05 3.964589e-05 1.241790e-04 9.346984e-03
1.200000e+04 2.757185e-05 4.102234e-06 1.522555e-04 6.270957e-03
1.210000e+04 2.077106e-05 5.907454e-05 1.852442e-04 8.629024e-03
1.220000e+04 2.997037e-05 6.570195e-05 1.278199e-04 1.461903e-02
