# iteration  l2_NN  l2_FF  l2_mFF
0.000000e+00 2.350829e+00 2.571676e+00 1.722053e+00
1.000000e+02 7.946018e-01 2.453309e+00 8.595158e-01
2.000000e+02 1.742656e+00 2.331304e+00 4.297430e-01
3.000000e+02 4.983021e+00 2.197604e+00 2.539657e-01
4.000000e+02 8.890549e+00 2.072686e+00 1.911146e-01
5.000000e+02 7.135453e+00 1.947870e+00 1.674857e-01
6.000000e+02 4.743105e+00 1.826998e+00 1.416487e-01
7.000000e+02 4.695285e+00 1.711974e+00 1.225916e-01
8.000000e+02 4.354760e+00 1.601273e+00 1.011831e-01
9.000000e+02 3.448009e+00 1.495813e+00 9.569910e-02
1.000000e+03 4.408632e+00 1.396728e+00 9.101381e-02
1.100000e+03 3.438652e+00 1.302227e+00 8.155110e-02
1.200000e+03 3.310019e+00 1.213151e+00 7.471334e-02
1.300000e+03 2.575694e+00 1.128756e+00 7.116280e-02
1.400000e+03 3.709972e+00 1.049063e+00 6.803058e-02
1.500000e+03 3.164699e+00 9.735995e-01 6.424899e-02
1.600000e+03 3.085540e+00 9.034797e-01 6.203003e-02
1.700000e+03 2.934064e+00 8.368467e-01 5.819532e-02
1.800000e+03 2.477076e+00 7.761840e-01 5.772375e-02
1.900000e+03 1.935300e+00 7.185836e-01 5.256823e-02
2.000000e+03 1.692214e+00 6.671831e-01 5.005837e-02
2.100000e+03 1.728263e+00 6.189178e-01 4.335723e-02
2.200000e+03 2.185679e+00 5.750742e-01 4.384385e-02
2.300000e+03 2.175070e+00 5.362523e-01 4.496053e-02
2.400000e+03 1.884072e+00 5.013484e-01 3.423110e-02
2.500000e+03 2.035978e+00 4.729730e-01 3.750050e-02
2.600000e+03 2.253636e+00 4.460390e-01 3.828025e-02
2.700000e+03 2.354399e+00 4.229276e-01 2.986743e-02
2.800000e+03 2.299886e+00 4.066811e-01 3.362191e-02
2.900000e+03 2.261984e+00 3.916096e-01 3.252831e-02
3.000000e+03 2.632211e+00 3.805926e-01 2.727232e-02
3.100000e+03 2.685708e+00 3.740000e-01 2.176603e-02
3.200000e+03 2.623967e+00 3.699863e-01 3.935411e-02
3.300000e+03 3.477135e+00 3.663476e-01 2.189375e-02
3.400000e+03 3.199124e+00 3.590031e-01 4.324288e-02
3.500000e+03 2.952449e+00 3.629645e-01 3.373318e-02
3.600000e+03 2.658122e+00 3.755979e-01 3.097303e-02
3.700000e+03 2.349181e+00 3.689695e-01 3.441006e-02
