# iteration  loss_bc  loss_res  l2_error
0.000000e+00 1.087284e+01 5.188320e+06 2.571676e+00
1.000000e+02 8.999952e+00 5.800286e+03 2.453309e+00
2.000000e+02 7.832894e+00 1.828570e+03 2.331304e+00
3.000000e+02 6.951221e+00 1.548048e+03 2.197604e+00
4.000000e+02 6.091045e+00 7.540958e+02 2.072686e+00
5.000000e+02 5.390834e+00 6.828978e+02 1.947870e+00
6.000000e+02 4.788108e+00 4.415976e+02 1.826998e+00
7.000000e+02 4.255085e+00 2.945589e+02 1.711974e+00
8.000000e+02 3.800331e+00 2.709819e+02 1.601273e+00
9.000000e+02 3.406560e+00 2.775816e+02 1.495813e+00
1.000000e+03 3.039950e+00 1.902804e+02 1.396728e+00
1.100000e+03 2.701881e+00 1.323477e+02 1.302227e+00
1.200000e+03 2.416248e+00 1.526465e+02 1.213151e+00
1.300000e+03 2.153029e+00 1.411094e+02 1.128756e+00
1.400000e+03 1.925342e+00 9.653560e+01 1.049063e+00
1.500000e+03 1.708717e+00 8.323869e+01 9.735995e-01
1.600000e+03 1.524264e+00 9.268278e+01 9.034797e-01
1.700000e+03 1.353634e+00 1.034551e+02 8.368467e-01
1.800000e+03 1.212604e+00 9.087157e+01 7.761840e-01
1.900000e+03 1.080137e+00 1.154532e+02 7.185836e-01
2.000000e+03 9.728551e-01 9.971167e+01 6.671831e-01
2.100000e+03 8.584545e-01 8.721351e+01 6.189178e-01
2.200000e+03 7.747251e-01 4.250368e+01 5.750742e-01
2.300000e+03 6.991363e-01 7.582983e+01 5.362523e-01
2.400000e+03 6.304320e-01 9.576797e+01 5.013484e-01
2.500000e+03 5.814748e-01 9.811242e+01 4.729730e-01
2.600000e+03 5.396642e-01 6.531567e+01 4.460390e-01
2.700000e+03 4.984091e-01 1.259657e+02 4.229276e-01
2.800000e+03 4.635686e-01 1.030236e+02 4.066811e-01
2.900000e+03 4.400168e-01 1.067675e+02 3.916096e-01
3.000000e+03 4.255314e-01 1.492941e+02 3.805926e-01
3.100000e+03 4.167601e-01 1.157669e+03 3.740000e-01
3.200000e+03 3.893622e-01 2.889978e+02 3.699863e-01
3.300000e+03 3.869210e-01 1.976031e+02 3.663476e-01
3.400000e+03 3.876764e-01 4.331938e+02 3.590031e-01
3.500000e+03 3.814356e-01 1.179370e+03 3.629645e-01
3.600000e+03 3.837169e-01 3.747926e+03 3.755979e-01
3.700000e+03 3.650343e-01 4.401284e+02 3.689695e-01
3.800000e+03 3.772025e-01 7.018472e+01 3.656569e-01
3.900000e+03 3.905455e-01 6.847431e+01 3.629005e-01
4.000000e+03 3.891455e-01 1.217717e+02 3.634577e-01
4.100000e+03 3.852074e-01 2.987261e+01 3.624119e-01
4.200000e+03 3.918497e-01 9.149501e+01 3.621517e-01
4.300000e+03 3.903659e-01 6.370405e+02 3.652506e-01
4.400000e+03 3.886324e-01 9.796643e+02 3.694345e-01
4.500000e+03 3.607689e-01 8.222780e+02 3.742906e-01
4.600000e+03 3.520927e-01 1.793225e+03 3.773883e-01
4.700000e+03 3.969882e-01 8.191770e+02 3.770200e-01
4.800000e+03 3.785912e-01 6.303405e+02 3.800939e-01
4.900000e+03 4.070746e-01 2.163055e+02 3.800064e-01
5.000000e+03 4.090186e-01 7.377792e+01 3.786116e-01
5.100000e+03 4.184066e-01 5.639342e+01 3.773870e-01
5.200000e+03 4.208609e-01 4.197374e+01 3.772904e-01
5.300000e+03 4.183468e-01 1.354081e+02 3.766267e-01
5.400000e+03 4.173825e-01 1.915561e+02 3.787424e-01
5.500000e+03 4.215987e-01 3.576118e+02 3.784225e-01
5.600000e+03 4.212456e-01 1.948768e+02 3.797452e-01
5.700000e+03 4.281899e-01 1.348203e+02 3.783776e-01
5.800000e+03 4.302964e-01 5.588407e+02 3.787510e-01
5.900000e+03 4.271325e-01 3.957476e+02 3.819809e-01
6.000000e+03 4.369124e-01 4.369592e+02 3.826611e-01
6.100000e+03 4.272443e-01 3.140252e+02 3.815608e-01
6.200000e+03 4.181992e-01 7.024081e+02 3.817260e-01
6.300000e+03 4.299394e-01 2.984210e+02 3.862958e-01
6.400000e+03 4.377754e-01 5.645084e+02 3.881704e-01
6.500000e+03 4.400328e-01 2.047372e+02 3.878062e-01
6.600000e+03 4.395843e-01 1.303975e+02 3.891452e-01
6.700000e+03 4.420520e-01 6.109755e+01 3.882842e-01
6.800000e+03 4.415510e-01 3.950071e+01 3.883284e-01
6.900000e+03 4.445999e-01 2.082486e+02 3.885213e-01
7.000000e+03 4.433746e-01 8.763794e+01 3.868408e-01
