# iteration  loss_bc  loss_res  l2_error
0.000000e+00 3.803255e+00 3.081503e+06 2.350829e+00
1.000000e+02 1.160117e+00 2.907718e+06 7.946018e-01
2.000000e+02 1.484230e+01 3.366350e+06 1.742656e+00
3.000000e+02 4.926049e+01 3.004296e+06 4.983021e+00
4.000000e+02 7.489349e+01 3.117836e+06 8.890549e+00
5.000000e+02 9.164117e+01 2.947169e+06 7.135453e+00
6.000000e+02 5.327079e+01 2.686119e+06 4.743105e+00
7.000000e+02 5.629538e+01 3.006722e+06 4.695285e+00
8.000000e+02 4.343864e+01 3.026918e+06 4.354760e+00
9.000000e+02 2.816448e+01 3.285039e+06 3.448009e+00
1.000000e+03 3.187433e+01 3.144001e+06 4.408632e+00
1.100000e+03 2.113682e+01 2.747288e+06 3.438652e+00
1.200000e+03 3.268581e+01 3.092454e+06 3.310019e+00
1.300000e+03 1.679659e+01 3.157268e+06 2.575694e+00
1.400000e+03 1.063807e+01 3.382580e+06 3.709972e+00
1.500000e+03 1.581573e+01 3.145646e+06 3.164699e+00
1.600000e+03 6.571672e+00 2.858792e+06 3.085540e+00
1.700000e+03 1.807561e+01 2.895813e+06 2.934064e+00
1.800000e+03 1.442479e+01 2.611416e+06 2.477076e+00
1.900000e+03 1.068451e+01 2.705034e+06 1.935300e+00
2.000000e+03 8.392460e+00 2.802690e+06 1.692214e+00
2.100000e+03 8.454669e+00 3.107965e+06 1.728263e+00
2.200000e+03 1.179754e+01 2.943029e+06 2.185679e+00
2.300000e+03 1.735063e+01 3.076357e+06 2.175070e+00
2.400000e+03 1.324081e+01 2.971832e+06 1.884072e+00
2.500000e+03 1.724187e+01 2.478747e+06 2.035978e+00
2.600000e+03 1.726905e+01 2.731268e+06 2.253636e+00
2.700000e+03 2.243733e+01 3.086664e+06 2.354399e+00
2.800000e+03 1.778990e+01 2.657171e+06 2.299886e+00
2.900000e+03 2.014849e+01 2.910924e+06 2.261984e+00
3.000000e+03 2.708547e+01 3.020062e+06 2.632211e+00
3.100000e+03 2.398058e+01 3.168079e+06 2.685708e+00
3.200000e+03 2.632882e+01 2.533886e+06 2.623967e+00
3.300000e+03 4.125581e+01 2.876187e+06 3.477135e+00
3.400000e+03 2.937836e+01 2.727669e+06 3.199124e+00
3.500000e+03 2.435721e+01 3.033930e+06 2.952449e+00
3.600000e+03 2.662172e+01 2.912960e+06 2.658122e+00
3.700000e+03 2.047567e+01 3.033499e+06 2.349181e+00
3.800000e+03 2.232098e+01 2.898487e+06 2.558181e+00
3.900000e+03 2.494064e+01 3.293448e+06 2.595209e+00
4.000000e+03 2.319672e+01 3.031835e+06 2.740061e+00
4.100000e+03 3.116483e+01 3.146590e+06 3.012577e+00
4.200000e+03 1.911675e+01 2.956111e+06 3.049674e+00
4.300000e+03 2.893182e+01 2.751270e+06 3.036365e+00
4.400000e+03 2.612483e+01 3.092496e+06 3.030254e+00
4.500000e+03 2.806208e+01 3.176948e+06 3.088890e+00
4.600000e+03 2.385623e+01 2.936008e+06 3.063149e+00
4.700000e+03 2.716362e+01 2.953249e+06 3.361546e+00
