# iteration  loss_bc  loss_res  l2_error
0.000000e+00 3.527766e-01 3.910944e+06 1.722053e+00
1.000000e+02 1.683321e-02 5.901763e+03 8.595158e-01
2.000000e+02 3.596370e-02 1.281942e+03 4.297430e-01
3.000000e+02 2.741667e-02 5.970099e+02 2.539657e-01
4.000000e+02 2.941838e-02 3.638411e+02 1.911146e-01
5.000000e+02 2.785027e-02 1.915375e+02 1.674857e-01
6.000000e+02 2.559868e-02 1.710115e+02 1.416487e-01
7.000000e+02 2.495094e-02 1.096151e+02 1.225916e-01
8.000000e+02 2.208413e-02 1.194591e+02 1.011831e-01
9.000000e+02 2.007477e-02 8.279619e+01 9.569910e-02
1.000000e+03 1.959169e-02 9.739218e+01 9.101381e-02
1.100000e+03 1.719841e-02 5.169637e+01 8.155110e-02
1.200000e+03 1.663590e-02 6.614101e+01 7.471334e-02
1.300000e+03 1.517619e-02 6.754594e+01 7.116280e-02
1.400000e+03 1.341615e-02 4.099933e+01 6.803058e-02
1.500000e+03 1.288184e-02 5.970810e+01 6.424899e-02
1.600000e+03 1.170959e-02 5.637659e+01 6.203003e-02
1.700000e+03 1.031465e-02 3.282110e+01 5.819532e-02
1.800000e+03 9.273606e-03 4.934247e+01 5.772375e-02
1.900000e+03 7.925254e-03 2.672153e+01 5.256823e-02
2.000000e+03 7.820836e-03 3.995392e+01 5.005837e-02
2.100000e+03 5.909078e-03 3.797640e+01 4.335723e-02
2.200000e+03 5.456242e-03 3.287508e+01 4.384385e-02
2.300000e+03 5.631191e-03 3.176941e+01 4.496053e-02
2.400000e+03 4.043175e-03 4.002455e+01 3.423110e-02
2.500000e+03 3.913901e-03 3.026602e+01 3.750050e-02
2.600000e+03 3.351095e-03 2.890656e+01 3.828025e-02
2.700000e+03 3.234235e-03 5.538363e+01 2.986743e-02
2.800000e+03 2.881609e-03 4.668323e+01 3.362191e-02
2.900000e+03 2.728718e-03 7.400220e+01 3.252831e-02
3.000000e+03 2.007375e-03 6.270936e+01 2.727232e-02
