# iteration  l2_Plain_fixed  l2_Plain_adapt  l2_MFF_fixed  l2_MFF_adapt  l2_ST_MFF_fixed  l2_ST_MFF_adapt
0.000000e+00 1.282979e+00 1.282979e+00 2.884956e+00 2.884956e+00 1.692688e+00 1.692688e+00
1.000000e+02 1.042897e+00 1.046863e+00 3.095719e+00 1.235601e+00 1.464081e+00 9.810221e-01
2.000000e+02 1.039905e+00 1.043173e+00 3.104315e+00 1.227529e+00 1.343559e+00 9.752094e-01
3.000000e+02 1.037538e+00 1.048051e+00 2.990900e+00 1.222509e+00 1.242058e+00 9.631437e-01
4.000000e+02 1.039347e+00 1.051077e+00 2.876457e+00 1.219228e+00 1.162217e+00 9.498170e-01
5.000000e+02 1.039559e+00 1.057718e+00 2.783151e+00 1.216310e+00 1.094828e+00 9.357844e-01
6.000000e+02 1.034040e+00 1.038401e+00 2.676749e+00 1.211481e+00 1.052082e+00 9.216850e-01
7.000000e+02 1.033022e+00 1.049565e+00 2.545535e+00 1.207597e+00 1.024214e+00 9.079040e-01
8.000000e+02 1.031970e+00 1.038246e+00 2.414578e+00 1.204768e+00 1.009274e+00 8.957996e-01
9.000000e+02 1.031054e+00 1.032948e+00 2.336473e+00 1.200124e+00 1.002986e+00 8.825015e-01
1.000000e+03 1.039046e+00 1.072994e+00 2.253890e+00 1.196979e+00 1.003248e+00 8.713951e-01
1.100000e+03 1.036331e+00 1.042021e+00 2.158097e+00 1.193045e+00 1.006687e+00 8.574633e-01
1.200000e+03 1.035270e+00 1.030121e+00 2.071876e+00 1.189108e+00 1.011933e+00 8.475961e-01
1.300000e+03 1.036116e+00 1.023103e+00 2.003788e+00 1.185317e+00 1.017696e+00 8.375467e-01
1.400000e+03 1.041448e+00 1.022242e+00 1.950974e+00 1.181471e+00 1.023020e+00 8.256765e-01
1.500000e+03 1.042086e+00 1.032316e+00 1.859517e+00 1.178376e+00 1.026853e+00 8.180235e-01
1.600000e+03 1.041231e+00 1.012633e+00 1.798252e+00 1.175138e+00 1.030620e+00 8.110080e-01
1.700000e+03 1.042564e+00 1.017379e+00 1.722125e+00 1.171511e+00 1.033772e+00 8.006120e-01
1.800000e+03 1.042958e+00 1.012205e+00 1.656022e+00 1.168062e+00 1.034407e+00 7.898256e-01
1.900000e+03 1.049185e+00 1.001916e+00 1.600222e+00 1.164670e+00 1.036242e+00 7.786948e-01
2.000000e+03 1.049705e+00 9.996984e-01 1.555138e+00 1.161608e+00 1.038320e+00 7.657274e-01
2.100000e+03 1.049097e+00 9.830294e-01 1.500280e+00 1.158376e+00 1.038677e+00 7.552245e-01
2.200000e+03 1.051981e+00 9.767780e-01 1.469341e+00 1.155459e+00 1.037670e+00 7.443255e-01
2.300000e+03 1.051985e+00 9.700487e-01 1.416535e+00 1.152170e+00 1.039687e+00 7.362504e-01
2.400000e+03 1.049186e+00 9.634499e-01 1.390662e+00 1.149839e+00 1.040637e+00 7.271635e-01
2.500000e+03 1.052209e+00 9.589536e-01 1.340583e+00 1.146136e+00 1.039136e+00 7.130075e-01
2.600000e+03 1.053641e+00 9.562844e-01 1.301608e+00 1.143409e+00 1.039024e+00 6.995009e-01
2.700000e+03 1.054651e+00 9.564390e-01 1.283127e+00 1.140754e+00 1.037992e+00 7.039622e-01
2.800000e+03 1.046599e+00 9.565365e-01 1.258421e+00 1.137887e+00 1.039205e+00 6.895274e-01
2.900000e+03 1.050546e+00 9.534555e-01 1.222995e+00 1.135178e+00 1.038299e+00 6.758374e-01
3.000000e+03 1.041619e+00 9.549538e-01 1.208617e+00 1.132826e+00 1.037747e+00 6.613596e-01
3.100000e+03 1.050194e+00 9.547285e-01 1.201894e+00 1.130172e+00 1.037896e+00 6.468682e-01
3.200000e+03 1.041002e+00 9.519591e-01 1.186443e+00 1.127546e+00 1.037867e+00 6.320237e-01
3.300000e+03 1.047205e+00 9.502035e-01 1.155716e+00 1.124564e+00 1.037365e+00 6.197607e-01
3.400000e+03 1.044775e+00 9.511667e-01 1.134194e+00 1.122695e+00 1.038626e+00 6.103900e-01
3.500000e+03 1.051296e+00 9.475416e-01 1.129353e+00 1.119628e+00 1.035397e+00 5.924398e-01
3.600000e+03 1.046722e+00 9.452595e-01 1.116996e+00 1.117488e+00 1.038197e+00 5.884084e-01
3.700000e+03 1.036300e+00 9.422151e-01 1.117747e+00 1.114899e+00 1.038908e+00 5.761406e-01
3.800000e+03 1.040795e+00 9.382130e-01 1.104021e+00 1.112572e+00 1.038439e+00 5.652507e-01
3.900000e+03 1.040036e+00 9.350323e-01 1.103347e+00 1.109853e+00 1.036702e+00 5.517507e-01
4.000000e+03 1.041216e+00 9.319512e-01 1.093591e+00 1.108221e+00 1.034555e+00 5.380453e-01
4.100000e+03 1.043432e+00 9.326111e-01 1.081223e+00 1.106171e+00 1.037711e+00 5.399237e-01
4.200000e+03 1.039496e+00 9.317468e-01 1.082888e+00 1.103778e+00 1.036963e+00 5.286712e-01
4.300000e+03 1.030735e+00 9.296709e-01 1.071994e+00 1.101466e+00 1.037939e+00 5.187526e-01
4.400000e+03 1.037445e+00 9.271168e-01 1.068313e+00 1.099471e+00 1.035642e+00 4.981340e-01
4.500000e+03 1.039198e+00 9.274421e-01 1.063343e+00 1.097230e+00 1.038186e+00 4.837908e-01
4.600000e+03 1.042332e+00 9.247102e-01 1.065340e+00 1.095626e+00 1.037886e+00 4.670583e-01
4.700000e+03 1.034408e+00 9.237064e-01 1.062349e+00 1.093592e+00 1.038647e+00 4.551393e-01
4.800000e+03 1.036964e+00 9.229591e-01 1.055792e+00 1.091289e+00 1.040255e+00 4.433380e-01
4.900000e+03 1.036195e+00 9.226576e-01 1.049973e+00 1.090231e+00 1.036547e+00 4.438144e-01
5.000000e+03 1.029120e+00 9.206949e-01 1.061786e+00 1.088283e+00 1.037466e+00 4.520376e-01
5.100000e+03 1.035534e+00 9.202859e-01 1.056015e+00 1.086090e+00 1.037666e+00 4.390070e-01
5.200000e+03 1.032734e+00 9.190852e-01 1.058691e+00 1.084790e+00 1.038796e+00 4.190601e-01
5.300000e+03 1.032946e+00 9.187994e-01 1.049478e+00 1.083088e+00 1.036255e+00 4.045159e-01
5.400000e+03 1.029038e+00 9.174464e-01 1.045966e+00 1.081264e+00 1.037488e+00 3.949436e-01
5.500000e+03 1.037799e+00 9.172008e-01 1.050478e+00 1.079938e+00 1.038555e+00 3.879062e-01
5.600000e+03 1.039109e+00 9.166613e-01 1.047820e+00 1.078583e+00 1.036648e+00 3.766683e-01
5.700000e+03 1.034362e+00 9.149172e-01 1.045726e+00 1.077411e+00 1.038370e+00 3.661846e-01
5.800000e+03 1.033639e+00 9.136155e-01 1.048654e+00 1.075939e+00 1.037304e+00 3.618595e-01
5.900000e+03 1.032854e+00 9.119726e-01 1.045777e+00 1.074548e+00 1.036898e+00 3.435168e-01
6.000000e+03 1.040304e+00 9.095068e-01 1.046815e+00 1.073680e+00 1.038262e+00 3.315876e-01
6.100000e+03 1.037540e+00 9.070587e-01 1.047426e+00 1.072220e+00 1.038315e+00 3.242746e-01
6.200000e+03 1.035574e+00 9.040557e-01 1.047428e+00 1.070609e+00 1.037774e+00 3.164230e-01
6.300000e+03 1.032012e+00 9.018851e-01 1.046724e+00 1.070086e+00 1.038347e+00 3.132919e-01
6.400000e+03 1.031708e+00 8.999307e-01 1.048387e+00 1.068034e+00 1.037916e+00 3.212102e-01
