# iteration  lambda_u  lambda_ut  lambda_r
0.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 4.441717e+09 5.351734e+07 1.000000e+00
2.000000e+02 2.293194e+09 4.950012e+07 1.000000e+00
3.000000e+02 2.036583e+09 4.679871e+07 1.000000e+00
4.000000e+02 1.898226e+09 4.639718e+07 1.000000e+00
5.000000e+02 1.806440e+09 4.596850e+07 1.000000e+00
6.000000e+02 1.742395e+09 4.465392e+07 1.000000e+00
7.000000e+02 1.724727e+09 4.567929e+07 1.000000e+00
8.000000e+02 1.639080e+09 4.450867e+07 1.000000e+00
9.000000e+02 1.658883e+09 4.446430e+07 1.000000e+00
1.000000e+03 1.555055e+09 4.426959e+07 1.000000e+00
1.100000e+03 1.524423e+09 4.155006e+07 1.000000e+00
1.200000e+03 1.525084e+09 4.204759e+07 1.000000e+00
1.300000e+03 1.492125e+09 4.170872e+07 1.000000e+00
1.400000e+03 1.461737e+09 4.316181e+07 1.000000e+00
1.500000e+03 1.431349e+09 4.149725e+07 1.000000e+00
1.600000e+03 1.403973e+09 4.146414e+07 1.000000e+00
1.700000e+03 1.388056e+09 4.135648e+07 1.000000e+00
1.800000e+03 1.412381e+09 4.209805e+07 1.000000e+00
1.900000e+03 1.389018e+09 4.204366e+07 1.000000e+00
2.000000e+03 1.353004e+09 4.071452e+07 1.000000e+00
2.100000e+03 1.327715e+09 4.100311e+07 1.000000e+00
2.200000e+03 1.350325e+09 4.178169e+07 1.000000e+00
2.300000e+03 1.342778e+09 4.223738e+07 1.000000e+00
2.400000e+03 1.297588e+09 3.972604e+07 1.000000e+00
2.500000e+03 1.301711e+09 4.127838e+07 1.000000e+00
2.600000e+03 1.270129e+09 3.944038e+07 1.000000e+00
2.700000e+03 1.255431e+09 3.985385e+07 1.000000e+00
2.800000e+03 1.231375e+09 3.900191e+07 1.000000e+00
2.900000e+03 1.253907e+09 3.938839e+07 1.000000e+00
3.000000e+03 1.269894e+09 4.085765e+07 1.000000e+00
3.100000e+03 1.237294e+09 3.855863e+07 1.000000e+00
3.200000e+03 1.229692e+09 3.948553e+07 1.000000e+00
3.300000e+03 1.231100e+09 3.966757e+07 1.000000e+00
3.400000e+03 1.203463e+09 3.775526e+07 1.000000e+00
3.500000e+03 1.192620e+09 3.820409e+07 1.000000e+00
3.600000e+03 1.190336e+09 3.901790e+07 1.000000e+00
3.700000e+03 1.169124e+09 3.788848e+07 1.000000e+00
3.800000e+03 1.218376e+09 3.969805e+07 1.000000e+00
3.900000e+03 1.139058e+09 3.721796e+07 1.000000e+00
4.000000e+03 1.150621e+09 3.773545e+07 1.000000e+00
4.100000e+03 1.145728e+09 3.862240e+07 1.000000e+00
4.200000e+03 1.143400e+09 3.794485e+07 1.000000e+00
4.300000e+03 1.112019e+09 3.650321e+07 1.000000e+00
4.400000e+03 1.116909e+09 3.651415e+07 1.000000e+00
4.500000e+03 1.097923e+09 3.691155e+07 1.000000e+00
4.600000e+03 1.116467e+09 3.714411e+07 1.000000e+00
4.700000e+03 1.102012e+09 3.718894e+07 1.000000e+00
4.800000e+03 1.089532e+09 3.713459e+07 1.000000e+00
4.900000e+03 1.069211e+09 3.654228e+07 1.000000e+00
5.000000e+03 1.056866e+09 3.631799e+07 1.000000e+00
5.100000e+03 1.069589e+09 3.594421e+07 1.000000e+00
5.200000e+03 1.039487e+09 3.533409e+07 1.000000e+00
5.300000e+03 1.023693e+09 3.587940e+07 1.000000e+00
5.400000e+03 1.041952e+09 3.665483e+07 1.000000e+00
5.500000e+03 1.029732e+09 3.531407e+07 1.000000e+00
5.600000e+03 1.028541e+09 3.581209e+07 1.000000e+00
5.700000e+03 1.009796e+09 3.572681e+07 1.000000e+00
5.800000e+03 9.740577e+08 3.469116e+07 1.000000e+00
5.900000e+03 9.892764e+08 3.457637e+07 1.000000e+00
6.000000e+03 9.572973e+08 3.415547e+07 1.000000e+00
6.100000e+03 9.855203e+08 3.510203e+07 1.000000e+00
6.200000e+03 9.450305e+08 3.330500e+07 1.000000e+00
6.300000e+03 9.584987e+08 3.510106e+07 1.000000e+00
6.400000e+03 9.275567e+08 3.322814e+07 1.000000e+00
6.500000e+03 9.349685e+08 3.354292e+07 1.000000e+00
