# iteration  lambda_u  lambda_ut  lambda_r
0.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 1.188325e+02 5.366050e+03 1.008676e+00
2.000000e+02 1.948947e+01 1.905102e+03 1.054668e+00
3.000000e+02 2.285521e+01 1.636350e+03 1.046424e+00
4.000000e+02 2.957376e+01 1.293384e+03 1.035826e+00
5.000000e+02 3.427817e+01 9.560795e+02 1.031161e+00
6.000000e+02 3.950336e+01 6.211545e+02 1.027669e+00
7.000000e+02 4.415999e+01 3.164387e+02 1.026489e+00
8.000000e+02 5.983247e+01 1.692641e+02 1.023145e+00
9.000000e+02 1.021624e+02 1.367415e+02 1.017399e+00
1.000000e+03 1.312178e+02 8.981063e+01 1.019114e+00
1.100000e+03 1.635155e+02 5.771382e+01 1.024005e+00
1.200000e+03 1.983157e+02 4.366637e+01 1.028747e+00
1.300000e+03 3.438957e+02 4.596150e+01 1.025289e+00
1.400000e+03 4.151088e+02 4.721558e+01 1.024158e+00
1.500000e+03 6.669689e+02 4.487521e+01 1.024363e+00
1.600000e+03 6.188804e+02 3.777996e+01 1.028896e+00
1.700000e+03 5.119404e+02 1.857814e+01 1.059075e+00
1.800000e+03 1.351371e+03 3.362938e+01 1.031434e+00
1.900000e+03 1.043434e+03 2.690630e+01 1.039635e+00
2.000000e+03 1.845584e+03 2.551131e+01 1.041385e+00
2.100000e+03 1.891319e+03 1.547593e+01 1.069685e+00
2.200000e+03 4.106564e+03 2.148136e+01 1.049093e+00
2.300000e+03 1.468083e+04 4.368488e+01 1.023499e+00
2.400000e+03 1.844668e+04 3.310635e+01 1.031204e+00
2.500000e+03 2.997438e+04 2.781959e+01 1.037322e+00
2.600000e+03 4.483129e+04 3.554515e+01 1.028971e+00
2.700000e+03 4.255651e+04 2.808238e+01 1.036950e+00
2.800000e+03 3.886322e+04 2.292808e+01 1.045632e+00
2.900000e+03 6.095367e+04 3.792146e+01 1.027102e+00
3.000000e+03 6.210659e+04 3.939425e+01 1.026063e+00
3.100000e+03 4.026465e+04 2.406399e+01 1.043385e+00
3.200000e+03 9.941952e+04 4.867138e+01 1.020987e+00
3.300000e+03 6.222301e+04 3.647324e+01 1.028207e+00
3.400000e+03 2.173959e+04 1.128024e+01 1.097329e+00
3.500000e+03 8.616065e+04 4.258883e+01 1.024057e+00
3.600000e+03 5.941626e+04 3.146310e+01 1.032845e+00
3.700000e+03 6.392626e+04 3.111504e+01 1.033223e+00
3.800000e+03 6.962044e+04 3.440446e+01 1.029951e+00
3.900000e+03 6.644813e+04 2.991511e+01 1.034600e+00
4.000000e+03 6.115663e+04 2.983249e+01 1.034701e+00
4.100000e+03 1.287543e+05 7.189374e+01 1.014114e+00
4.200000e+03 4.008457e+04 2.071708e+01 1.050745e+00
4.300000e+03 5.701311e+04 3.229363e+01 1.031974e+00
4.400000e+03 7.485215e+04 4.193014e+01 1.024446e+00
4.500000e+03 4.132097e+04 2.380858e+01 1.043870e+00
4.600000e+03 1.075490e+05 5.704453e+01 1.017853e+00
4.700000e+03 5.547411e+04 2.620656e+01 1.039692e+00
4.800000e+03 5.733501e+04 2.802850e+01 1.037017e+00
4.900000e+03 7.503664e+04 3.608971e+01 1.028512e+00
5.000000e+03 6.906188e+04 4.004158e+01 1.025629e+00
5.100000e+03 1.419141e+05 7.501828e+01 1.013517e+00
5.200000e+03 7.808656e+04 3.485775e+01 1.029549e+00
5.300000e+03 5.714586e+04 2.962070e+01 1.034958e+00
5.400000e+03 9.010381e+04 5.214930e+01 1.019562e+00
5.500000e+03 9.732162e+04 4.805789e+01 1.021261e+00
5.600000e+03 4.748390e+04 2.281989e+01 1.045853e+00
5.700000e+03 7.190467e+04 3.765546e+01 1.027296e+00
5.800000e+03 1.130884e+05 6.299323e+01 1.016140e+00
5.900000e+03 1.061849e+05 4.812712e+01 1.021229e+00
6.000000e+03 1.135473e+05 5.415883e+01 1.018821e+00
6.100000e+03 1.327866e+05 6.680909e+01 1.015203e+00
6.200000e+03 1.294272e+05 6.176036e+01 1.016466e+00
6.300000e+03 1.450985e+05 7.425848e+01 1.013657e+00
6.400000e+03 1.107749e+05 5.301954e+01 1.019233e+00
6.500000e+03 1.108081e+05 5.726128e+01 1.017784e+00
6.600000e+03 6.133222e+04 3.013459e+01 1.034341e+00
6.700000e+03 8.229601e+04 4.712809e+01 1.021691e+00
6.800000e+03 1.020306e+05 4.096084e+01 1.025035e+00
6.900000e+03 1.173570e+05 5.571824e+01 1.018284e+00
7.000000e+03 9.698378e+04 4.950128e+01 1.020629e+00
7.100000e+03 9.540304e+04 5.126746e+01 1.019904e+00
7.200000e+03 1.021367e+05 5.657345e+01 1.018004e+00
7.300000e+03 1.370177e+05 6.753062e+01 1.015038e+00
7.400000e+03 1.498156e+05 8.153753e+01 1.012423e+00
7.500000e+03 1.114678e+05 6.040235e+01 1.016844e+00
7.600000e+03 1.262674e+05 6.509663e+01 1.015610e+00
7.700000e+03 1.189282e+05 5.208472e+01 1.019584e+00
7.800000e+03 1.042010e+05 4.833407e+01 1.021136e+00
7.900000e+03 2.137996e+05 1.100848e+02 1.009172e+00
8.000000e+03 1.400883e+05 6.950456e+01 1.014605e+00
8.100000e+03 1.137914e+05 5.563130e+01 1.018314e+00
8.200000e+03 7.325783e+04 3.866725e+01 1.026563e+00
8.300000e+03 1.488116e+05 7.267605e+01 1.013959e+00
8.400000e+03 7.322131e+04 3.445338e+01 1.029907e+00
8.500000e+03 1.514799e+05 7.815730e+01 1.012967e+00
8.600000e+03 1.229891e+05 5.491452e+01 1.018556e+00
