# iteration  lambda_u  lambda_ut  lambda_r
0.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 9.108540e+05 2.127612e+04 1.000048e+00
2.000000e+02 6.858705e+05 4.268569e+04 1.000025e+00
3.000000e+02 7.512372e+05 4.347707e+04 1.000024e+00
4.000000e+02 8.127889e+05 4.141520e+04 1.000025e+00
5.000000e+02 8.752685e+05 4.012783e+04 1.000026e+00
6.000000e+02 9.337096e+05 4.041007e+04 1.000026e+00
7.000000e+02 9.575527e+05 4.350240e+04 1.000024e+00
8.000000e+02 1.002187e+06 6.409723e+04 1.000017e+00
9.000000e+02 1.019166e+06 6.768178e+04 1.000016e+00
1.000000e+03 9.899598e+05 6.875782e+04 1.000016e+00
1.100000e+03 9.754041e+05 8.486615e+04 1.000013e+00
1.200000e+03 9.645693e+05 9.898214e+04 1.000011e+00
1.300000e+03 9.635931e+05 1.131132e+05 1.000010e+00
1.400000e+03 9.802515e+05 1.272985e+05 1.000009e+00
1.500000e+03 9.373108e+05 1.339128e+05 1.000009e+00
1.600000e+03 9.424872e+05 1.733869e+05 1.000007e+00
1.700000e+03 8.979931e+05 2.082204e+05 1.000006e+00
1.800000e+03 8.748200e+05 2.174461e+05 1.000006e+00
1.900000e+03 8.586814e+05 2.127265e+05 1.000006e+00
2.000000e+03 8.826245e+05 2.135806e+05 1.000006e+00
2.100000e+03 8.753306e+05 2.147536e+05 1.000006e+00
2.200000e+03 8.741490e+05 2.277034e+05 1.000006e+00
2.300000e+03 8.853367e+05 2.243543e+05 1.000006e+00
2.400000e+03 8.621116e+05 2.600541e+05 1.000005e+00
2.500000e+03 8.210037e+05 2.491208e+05 1.000005e+00
2.600000e+03 8.239475e+05 2.429513e+05 1.000005e+00
2.700000e+03 9.070220e+05 2.560612e+05 1.000005e+00
2.800000e+03 7.996060e+05 3.052849e+05 1.000005e+00
2.900000e+03 8.037493e+05 2.969324e+05 1.000005e+00
3.000000e+03 8.541104e+05 3.093639e+05 1.000004e+00
3.100000e+03 7.918992e+05 2.736445e+05 1.000005e+00
3.200000e+03 8.364399e+05 2.567388e+05 1.000005e+00
3.300000e+03 8.234799e+05 2.618527e+05 1.000005e+00
3.400000e+03 8.233773e+05 2.747322e+05 1.000005e+00
3.500000e+03 8.049951e+05 2.770750e+05 1.000005e+00
3.600000e+03 8.339149e+05 2.846114e+05 1.000005e+00
3.700000e+03 7.871995e+05 2.959588e+05 1.000005e+00
3.800000e+03 8.217814e+05 3.212694e+05 1.000004e+00
3.900000e+03 7.866965e+05 3.057889e+05 1.000005e+00
4.000000e+03 8.144905e+05 3.118790e+05 1.000004e+00
4.100000e+03 8.321035e+05 3.500456e+05 1.000004e+00
4.200000e+03 8.069280e+05 3.603533e+05 1.000004e+00
4.300000e+03 7.736758e+05 4.181340e+05 1.000004e+00
4.400000e+03 7.771982e+05 3.730082e+05 1.000004e+00
4.500000e+03 7.786946e+05 3.569819e+05 1.000004e+00
4.600000e+03 7.630148e+05 3.257072e+05 1.000004e+00
4.700000e+03 8.321165e+05 3.214098e+05 1.000004e+00
4.800000e+03 7.848276e+05 3.137074e+05 1.000004e+00
4.900000e+03 7.879032e+05 3.319928e+05 1.000004e+00
5.000000e+03 8.066054e+05 4.250959e+05 1.000004e+00
5.100000e+03 7.815646e+05 4.415157e+05 1.000004e+00
5.200000e+03 7.554491e+05 4.051382e+05 1.000004e+00
5.300000e+03 7.736735e+05 3.748198e+05 1.000004e+00
5.400000e+03 8.096691e+05 4.014135e+05 1.000004e+00
5.500000e+03 8.380436e+05 4.026434e+05 1.000004e+00
5.600000e+03 8.005957e+05 3.952980e+05 1.000004e+00
5.700000e+03 8.008606e+05 4.267319e+05 1.000004e+00
5.800000e+03 7.737767e+05 4.194612e+05 1.000004e+00
5.900000e+03 8.266993e+05 4.220144e+05 1.000004e+00
6.000000e+03 8.129662e+05 3.938703e+05 1.000004e+00
6.100000e+03 8.417477e+05 4.070563e+05 1.000004e+00
6.200000e+03 8.110258e+05 3.960213e+05 1.000004e+00
6.300000e+03 8.247852e+05 4.170196e+05 1.000004e+00
6.400000e+03 8.445999e+05 4.308468e+05 1.000004e+00
6.500000e+03 7.895558e+05 4.465398e+05 1.000004e+00
6.600000e+03 8.241948e+05 4.399689e+05 1.000003e+00
6.700000e+03 7.712511e+05 5.026256e+05 1.000003e+00
6.800000e+03 8.229887e+05 4.202717e+05 1.000004e+00
6.900000e+03 8.067901e+05 4.386449e+05 1.000004e+00
7.000000e+03 8.380721e+05 4.740062e+05 1.000003e+00
7.100000e+03 7.959633e+05 4.817340e+05 1.000003e+00
7.200000e+03 8.221694e+05 4.927118e+05 1.000003e+00
7.300000e+03 8.158365e+05 4.654428e+05 1.000003e+00
7.400000e+03 8.258341e+05 5.023502e+05 1.000003e+00
7.500000e+03 8.330422e+05 5.186332e+05 1.000003e+00
7.600000e+03 8.426707e+05 4.873100e+05 1.000003e+00
7.700000e+03 8.419524e+05 4.435735e+05 1.000003e+00
7.800000e+03 8.349394e+05 4.542735e+05 1.000003e+00
7.900000e+03 8.655077e+05 4.830792e+05 1.000003e+00
8.000000e+03 8.416354e+05 4.721491e+05 1.000003e+00
8.100000e+03 8.583218e+05 4.816155e+05 1.000003e+00
8.200000e+03 8.246330e+05 5.229376e+05 1.000003e+00
8.300000e+03 8.501767e+05 4.922750e+05 1.000003e+00
8.400000e+03 8.286186e+05 4.615130e+05 1.000003e+00
8.500000e+03 8.849946e+05 5.006230e+05 1.000003e+00
8.600000e+03 8.041217e+05 4.718546e+05 1.000003e+00
8.700000e+03 8.828037e+05 5.521715e+05 1.000003e+00
8.800000e+03 8.003761e+05 4.662248e+05 1.000003e+00
8.900000e+03 8.211105e+05 4.986404e+05 1.000003e+00
9.000000e+03 8.352567e+05 5.103765e+05 1.000003e+00
9.100000e+03 8.257636e+05 5.324630e+05 1.000003e+00
9.200000e+03 9.248163e+05 5.537847e+05 1.000003e+00
9.300000e+03 8.647782e+05 5.629718e+05 1.000003e+00
9.400000e+03 8.391746e+05 4.856819e+05 1.000003e+00
9.500000e+03 8.607949e+05 5.028804e+05 1.000003e+00
9.600000e+03 8.968542e+05 5.358661e+05 1.000003e+00
9.700000e+03 8.429847e+05 5.289177e+05 1.000003e+00
9.800000e+03 9.066913e+05 5.526328e+05 1.000003e+00
9.900000e+03 8.810790e+05 5.778436e+05 1.000003e+00
1.000000e+04 8.554217e+05 5.194563e+05 1.000003e+00
1.010000e+04 8.410754e+05 4.869074e+05 1.000003e+00
1.020000e+04 9.126115e+05 5.403703e+05 1.000003e+00
1.030000e+04 8.944247e+05 5.252136e+05 1.000003e+00
1.040000e+04 8.599203e+05 4.985246e+05 1.000003e+00
1.050000e+04 9.019606e+05 5.358020e+05 1.000003e+00
1.060000e+04 9.005565e+05 5.685775e+05 1.000003e+00
1.070000e+04 8.802693e+05 5.651995e+05 1.000003e+00
1.080000e+04 8.740489e+05 5.822844e+05 1.000003e+00
1.090000e+04 9.085108e+05 5.794696e+05 1.000003e+00
1.100000e+04 9.130416e+05 6.186509e+05 1.000003e+00
1.110000e+04 8.557270e+05 5.942733e+05 1.000003e+00
1.120000e+04 8.923424e+05 5.754568e+05 1.000003e+00
1.130000e+04 8.661781e+05 5.767099e+05 1.000003e+00
1.140000e+04 9.078077e+05 6.443546e+05 1.000003e+00
1.150000e+04 8.297880e+05 5.528772e+05 1.000003e+00
1.160000e+04 8.365276e+05 5.591667e+05 1.000003e+00
1.170000e+04 8.371237e+05 5.517091e+05 1.000003e+00
1.180000e+04 8.869768e+05 5.899847e+05 1.000003e+00
1.190000e+04 8.912604e+05 5.970492e+05 1.000003e+00
1.200000e+04 8.502693e+05 6.213801e+05 1.000003e+00
1.210000e+04 9.009022e+05 5.923874e+05 1.000003e+00
1.220000e+04 8.754513e+05 6.336776e+05 1.000003e+00
1.230000e+04 8.736002e+05 6.124518e+05 1.000003e+00
1.240000e+04 8.785407e+05 5.482997e+05 1.000003e+00
1.250000e+04 8.924268e+05 6.092408e+05 1.000003e+00
1.260000e+04 9.356791e+05 6.546032e+05 1.000003e+00
1.270000e+04 8.995300e+05 5.831347e+05 1.000003e+00
1.280000e+04 9.459560e+05 6.150189e+05 1.000003e+00
1.290000e+04 8.993990e+05 6.156844e+05 1.000003e+00
1.300000e+04 8.927421e+05 5.647178e+05 1.000003e+00
1.310000e+04 8.901595e+05 5.409431e+05 1.000003e+00
1.320000e+04 9.321655e+05 5.884018e+05 1.000003e+00
1.330000e+04 8.892697e+05 5.993128e+05 1.000003e+00
1.340000e+04 9.153706e+05 6.230177e+05 1.000003e+00
1.350000e+04 9.504637e+05 6.754127e+05 1.000003e+00
1.360000e+04 9.156339e+05 5.844617e+05 1.000003e+00
1.370000e+04 8.784499e+05 5.622923e+05 1.000003e+00
1.380000e+04 9.099714e+05 5.447775e+05 1.000003e+00
1.390000e+04 9.438586e+05 6.199381e+05 1.000003e+00
1.400000e+04 8.925835e+05 5.333839e+05 1.000003e+00
1.410000e+04 9.031175e+05 5.803801e+05 1.000003e+00
1.420000e+04 8.891863e+05 5.848788e+05 1.000003e+00
1.430000e+04 8.967959e+05 5.941696e+05 1.000003e+00
1.440000e+04 9.019266e+05 6.347868e+05 1.000003e+00
1.450000e+04 9.303451e+05 5.898041e+05 1.000003e+00
1.460000e+04 9.062325e+05 5.675516e+05 1.000003e+00
1.470000e+04 8.983780e+05 5.579356e+05 1.000003e+00
1.480000e+04 8.991814e+05 5.657610e+05 1.000003e+00
1.490000e+04 9.255349e+05 5.924876e+05 1.000003e+00
1.500000e+04 9.709376e+05 6.682710e+05 1.000003e+00
1.510000e+04 9.753728e+05 6.435619e+05 1.000003e+00
1.520000e+04 8.501863e+05 5.809008e+05 1.000003e+00
1.530000e+04 8.976308e+05 5.189640e+05 1.000003e+00
1.540000e+04 9.148325e+05 5.889565e+05 1.000003e+00
1.550000e+04 8.736771e+05 5.848477e+05 1.000003e+00
1.560000e+04 9.193708e+05 5.697763e+05 1.000003e+00
1.570000e+04 9.712146e+05 6.394113e+05 1.000003e+00
1.580000e+04 9.130787e+05 6.115374e+05 1.000003e+00
1.590000e+04 9.169384e+05 6.436200e+05 1.000003e+00
1.600000e+04 8.776943e+05 6.014761e+05 1.000003e+00
1.610000e+04 9.059626e+05 5.593346e+05 1.000003e+00
1.620000e+04 9.149686e+05 5.413775e+05 1.000003e+00
1.630000e+04 9.271056e+05 6.259962e+05 1.000003e+00
1.640000e+04 9.495387e+05 6.209759e+05 1.000003e+00
1.650000e+04 9.183571e+05 5.718386e+05 1.000003e+00
1.660000e+04 9.265001e+05 6.791325e+05 1.000003e+00
1.670000e+04 9.374514e+05 6.908171e+05 1.000003e+00
1.680000e+04 9.776737e+05 6.169144e+05 1.000003e+00
1.690000e+04 9.004573e+05 5.507024e+05 1.000003e+00
1.700000e+04 9.534446e+05 6.076016e+05 1.000003e+00
1.710000e+04 9.578273e+05 6.357596e+05 1.000003e+00
1.720000e+04 9.204231e+05 5.927105e+05 1.000003e+00
1.730000e+04 8.680954e+05 5.499142e+05 1.000003e+00
1.740000e+04 9.176008e+05 5.330759e+05 1.000003e+00
1.750000e+04 8.960504e+05 5.337462e+05 1.000003e+00
1.760000e+04 9.097937e+05 5.767093e+05 1.000003e+00
1.770000e+04 8.970733e+05 5.503971e+05 1.000003e+00
1.780000e+04 9.697779e+05 6.560384e+05 1.000003e+00
1.790000e+04 9.208528e+05 6.203477e+05 1.000003e+00
1.800000e+04 9.196998e+05 6.485506e+05 1.000003e+00
1.810000e+04 9.646947e+05 6.201642e+05 1.000003e+00
1.820000e+04 9.210953e+05 6.270833e+05 1.000003e+00
1.830000e+04 9.356656e+05 5.698973e+05 1.000003e+00
1.840000e+04 9.148062e+05 6.539385e+05 1.000003e+00
1.850000e+04 9.460853e+05 6.473126e+05 1.000003e+00
1.860000e+04 9.456801e+05 6.326697e+05 1.000003e+00
1.870000e+04 9.058913e+05 6.189884e+05 1.000003e+00
1.880000e+04 9.436274e+05 5.966661e+05 1.000003e+00
1.890000e+04 9.161822e+05 5.951008e+05 1.000003e+00
1.900000e+04 9.632314e+05 6.473674e+05 1.000003e+00
1.910000e+04 8.882962e+05 6.096062e+05 1.000003e+00
1.920000e+04 9.216675e+05 5.973430e+05 1.000003e+00
1.930000e+04 9.435495e+05 6.667671e+05 1.000003e+00
1.940000e+04 9.369689e+05 6.542848e+05 1.000003e+00
1.950000e+04 9.442699e+05 6.050909e+05 1.000003e+00
1.960000e+04 9.128287e+05 5.068396e+05 1.000003e+00
1.970000e+04 9.146305e+05 6.151922e+05 1.000003e+00
1.980000e+04 9.375743e+05 6.689752e+05 1.000003e+00
1.990000e+04 9.101994e+05 6.616059e+05 1.000003e+00
2.000000e+04 9.082610e+05 6.543458e+05 1.000003e+00
2.010000e+04 9.093791e+05 6.665032e+05 1.000003e+00
2.020000e+04 9.378258e+05 5.845296e+05 1.000003e+00
2.030000e+04 9.320263e+05 6.129099e+05 1.000003e+00
2.040000e+04 9.547619e+05 6.254170e+05 1.000003e+00
2.050000e+04 9.353423e+05 6.512460e+05 1.000003e+00
2.060000e+04 8.869175e+05 5.426322e+05 1.000003e+00
2.070000e+04 9.387802e+05 5.659002e+05 1.000003e+00
2.080000e+04 8.700468e+05 5.472950e+05 1.000003e+00
2.090000e+04 9.346680e+05 6.265651e+05 1.000003e+00
2.100000e+04 8.961053e+05 5.866652e+05 1.000003e+00
2.110000e+04 8.943354e+05 5.506244e+05 1.000003e+00
2.120000e+04 9.060816e+05 6.270531e+05 1.000003e+00
2.130000e+04 9.333199e+05 6.396653e+05 1.000003e+00
