# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
0.000000e+00 1.043571e+01 9.991519e+01 4.453604e+09 2.884956e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 1.558855e-03 3.269044e-02 1.715288e+08 1.235601e+00 4.441717e+09 5.351734e+07 1.000000e+00
2.000000e+02 6.532560e-04 1.470342e-02 5.537889e+07 1.227529e+00 2.293194e+09 4.950012e+07 1.000000e+00
3.000000e+02 3.974214e-04 9.063769e-03 3.109174e+07 1.222509e+00 2.036583e+09 4.679871e+07 1.000000e+00
4.000000e+02 2.750499e-04 4.452306e-03 2.239613e+07 1.219228e+00 1.898226e+09 4.639718e+07 1.000000e+00
5.000000e+02 2.179691e-04 3.197031e-03 1.663373e+07 1.216310e+00 1.806440e+09 4.596850e+07 1.000000e+00
6.000000e+02 1.577708e-04 2.805202e-03 1.088563e+07 1.211481e+00 1.742395e+09 4.465392e+07 1.000000e+00
7.000000e+02 1.200053e-04 2.014081e-03 9.277917e+06 1.207597e+00 1.724727e+09 4.567929e+07 1.000000e+00
8.000000e+02 1.010613e-04 1.960096e-03 8.703957e+06 1.204768e+00 1.639080e+09 4.450867e+07 1.000000e+00
9.000000e+02 8.011391e-05 1.814071e-03 7.366373e+06 1.200124e+00 1.658883e+09 4.446430e+07 1.000000e+00
1.000000e+03 6.943131e-05 1.563602e-03 6.485250e+06 1.196979e+00 1.555055e+09 4.426959e+07 1.000000e+00
1.100000e+03 5.627343e-05 1.442688e-03 6.112422e+06 1.193045e+00 1.524423e+09 4.155006e+07 1.000000e+00
1.200000e+03 5.247370e-05 9.110052e-04 4.729352e+06 1.189108e+00 1.525084e+09 4.204759e+07 1.000000e+00
1.300000e+03 4.763593e-05 1.300924e-03 4.169518e+06 1.185317e+00 1.492125e+09 4.170872e+07 1.000000e+00
1.400000e+03 4.222254e-05 1.044316e-03 3.781008e+06 1.181471e+00 1.461737e+09 4.316181e+07 1.000000e+00
1.500000e+03 3.872036e-05 1.220511e-03 3.790624e+06 1.178376e+00 1.431349e+09 4.149725e+07 1.000000e+00
1.600000e+03 3.031463e-05 1.244341e-03 3.082010e+06 1.175138e+00 1.403973e+09 4.146414e+07 1.000000e+00
1.700000e+03 2.835117e-05 1.100637e-03 2.980059e+06 1.171511e+00 1.388056e+09 4.135648e+07 1.000000e+00
1.800000e+03 2.785114e-05 8.164658e-04 2.718397e+06 1.168062e+00 1.412381e+09 4.209805e+07 1.000000e+00
1.900000e+03 2.515840e-05 1.053464e-03 2.314853e+06 1.164670e+00 1.389018e+09 4.204366e+07 1.000000e+00
2.000000e+03 2.162809e-05 7.398876e-04 2.293440e+06 1.161608e+00 1.353004e+09 4.071452e+07 1.000000e+00
2.100000e+03 2.369523e-05 9.317024e-04 2.475263e+06 1.158376e+00 1.327715e+09 4.100311e+07 1.000000e+00
2.200000e+03 1.850349e-05 1.459930e-03 2.441812e+06 1.155459e+00 1.350325e+09 4.178169e+07 1.000000e+00
2.300000e+03 1.718010e-05 1.475099e-03 2.099010e+06 1.152170e+00 1.342778e+09 4.223738e+07 1.000000e+00
2.400000e+03 1.855684e-05 9.788364e-04 1.781587e+06 1.149839e+00 1.297588e+09 3.972604e+07 1.000000e+00
2.500000e+03 2.197790e-05 1.164962e-03 1.764170e+06 1.146136e+00 1.301711e+09 4.127838e+07 1.000000e+00
2.600000e+03 1.831451e-05 8.218520e-04 1.728710e+06 1.143409e+00 1.270129e+09 3.944038e+07 1.000000e+00
2.700000e+03 1.443650e-05 1.220781e-03 1.755838e+06 1.140754e+00 1.255431e+09 3.985385e+07 1.000000e+00
2.800000e+03 1.497824e-05 1.035344e-03 1.712524e+06 1.137887e+00 1.231375e+09 3.900191e+07 1.000000e+00
