# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
0.000000e+00 1.043571e+01 9.991519e+01 4.453604e+09 2.884956e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 1.205671e+01 2.530925e+00 2.856175e+07 3.095719e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.000000e+02 1.202333e+01 1.720463e+00 9.499362e+06 3.104315e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.000000e+02 1.091461e+01 1.605976e+00 6.061688e+06 2.990900e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.000000e+02 9.909423e+00 1.413379e+00 4.167724e+06 2.876457e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.000000e+02 9.025254e+00 1.304837e+00 2.655846e+06 2.783151e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.000000e+02 8.350680e+00 1.077551e+00 1.713291e+06 2.676749e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.000000e+02 7.420748e+00 1.067648e+00 1.448928e+06 2.545535e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.000000e+02 6.706768e+00 9.186095e-01 1.407770e+06 2.414578e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.000000e+02 6.085677e+00 8.055111e-01 8.533788e+05 2.336473e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+03 5.449671e+00 8.292399e-01 1.069387e+06 2.253890e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.100000e+03 5.046303e+00 8.548150e-01 7.356556e+05 2.158097e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.200000e+03 4.522354e+00 7.558289e-01 7.261963e+05 2.071876e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.300000e+03 4.265655e+00 7.967743e-01 5.809058e+05 2.003788e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.400000e+03 3.838544e+00 6.972335e-01 5.347811e+05 1.950974e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.500000e+03 3.525300e+00 7.174411e-01 5.136107e+05 1.859517e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.600000e+03 3.251944e+00 7.685559e-01 3.825864e+05 1.798252e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.700000e+03 2.815659e+00 6.580256e-01 4.265286e+05 1.722125e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.800000e+03 2.638298e+00 7.341627e-01 2.971272e+05 1.656022e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.900000e+03 2.387819e+00 7.413119e-01 3.387994e+05 1.600222e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.000000e+03 2.239602e+00 7.330639e-01 3.599495e+05 1.555138e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.100000e+03 1.994255e+00 7.595301e-01 3.124917e+05 1.500280e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.200000e+03 1.847709e+00 6.127412e-01 2.323155e+05 1.469341e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.300000e+03 1.740382e+00 6.564121e-01 2.080538e+05 1.416535e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.400000e+03 1.645977e+00 6.347505e-01 2.057671e+05 1.390662e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.500000e+03 1.544596e+00 7.454680e-01 2.257600e+05 1.340583e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.600000e+03 1.433352e+00 5.963717e-01 2.046629e+05 1.301608e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.700000e+03 1.351785e+00 5.262277e-01 1.776191e+05 1.283127e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.800000e+03 1.277997e+00 6.018785e-01 1.688729e+05 1.258421e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.900000e+03 1.181911e+00 5.247163e-01 1.689877e+05 1.222995e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.000000e+03 1.138096e+00 6.794631e-01 1.207108e+05 1.208617e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.100000e+03 1.204160e+00 6.016287e-01 1.557438e+05 1.201894e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.200000e+03 1.118890e+00 6.140099e-01 1.203742e+05 1.186443e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.300000e+03 1.076544e+00 5.889631e-01 1.453873e+05 1.155716e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.400000e+03 1.054953e+00 5.339185e-01 1.039092e+05 1.134194e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.500000e+03 1.036628e+00 5.651599e-01 1.394636e+05 1.129353e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.600000e+03 1.011476e+00 4.960449e-01 1.215552e+05 1.116996e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.700000e+03 9.846492e-01 5.068977e-01 1.237402e+05 1.117747e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.800000e+03 1.022083e+00 4.529004e-01 1.188252e+05 1.104021e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.900000e+03 9.895921e-01 5.201911e-01 1.137837e+05 1.103347e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.000000e+03 9.236178e-01 4.968106e-01 1.020910e+05 1.093591e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.100000e+03 1.038183e+00 4.663281e-01 8.605333e+04 1.081223e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.200000e+03 1.029369e+00 5.044582e-01 8.911420e+04 1.082888e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.300000e+03 9.056712e-01 5.566316e-01 9.377620e+04 1.071994e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.400000e+03 1.016045e+00 4.834474e-01 9.886041e+04 1.068313e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.500000e+03 8.683089e-01 4.964196e-01 8.847346e+04 1.063343e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.600000e+03 1.012123e+00 3.901308e-01 6.356504e+04 1.065340e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.700000e+03 1.006793e+00 4.041275e-01 8.023389e+04 1.062349e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.800000e+03 1.000433e+00 4.281835e-01 1.020280e+05 1.055792e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.900000e+03 8.958566e-01 3.798081e-01 6.817794e+04 1.049973e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.000000e+03 8.887407e-01 4.506476e-01 7.707544e+04 1.061786e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.100000e+03 9.847937e-01 4.354534e-01 7.466328e+04 1.056015e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.200000e+03 9.290810e-01 4.262665e-01 5.774472e+04 1.058691e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.300000e+03 8.435068e-01 4.236092e-01 6.276595e+04 1.049478e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.400000e+03 9.428813e-01 3.405515e-01 6.175451e+04 1.045966e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.500000e+03 9.733756e-01 3.703576e-01 8.289794e+04 1.050478e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.600000e+03 9.106917e-01 4.026026e-01 5.492019e+04 1.047820e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.700000e+03 8.547274e-01 3.192345e-01 7.665944e+04 1.045726e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.800000e+03 9.826322e-01 3.819991e-01 8.130588e+04 1.048654e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.900000e+03 9.581830e-01 3.177491e-01 6.200967e+04 1.045777e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.000000e+03 1.001453e+00 3.273253e-01 5.415441e+04 1.046815e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.100000e+03 8.997617e-01 3.232664e-01 5.130949e+04 1.047426e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.200000e+03 9.475151e-01 3.001708e-01 5.610255e+04 1.047428e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.300000e+03 1.009690e+00 3.132383e-01 5.405467e+04 1.046724e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.400000e+03 9.162834e-01 3.303766e-01 4.059816e+04 1.048387e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.500000e+03 9.039360e-01 3.137611e-01 4.862038e+04 1.042560e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.600000e+03 8.310504e-01 3.509096e-01 6.878592e+04 1.049686e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.700000e+03 9.901513e-01 3.534981e-01 5.494381e+04 1.042519e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.800000e+03 9.231301e-01 3.075094e-01 4.142555e+04 1.041290e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.900000e+03 9.339740e-01 3.062028e-01 4.680705e+04 1.048288e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.000000e+03 8.608945e-01 2.787102e-01 4.600295e+04 1.039343e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.100000e+03 8.480819e-01 3.287769e-01 4.027636e+04 1.039269e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.200000e+03 9.567626e-01 2.703022e-01 4.262265e+04 1.045974e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.300000e+03 9.559277e-01 3.097180e-01 3.770573e+04 1.047468e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.400000e+03 8.285007e-01 3.349239e-01 4.140818e+04 1.049051e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.500000e+03 9.725657e-01 2.882141e-01 4.120196e+04 1.040378e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.600000e+03 1.044245e+00 3.016126e-01 3.224311e+04 1.040870e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.700000e+03 9.890091e-01 2.960824e-01 3.026656e+04 1.042401e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.800000e+03 9.246632e-01 2.909580e-01 3.587540e+04 1.042156e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.900000e+03 9.456910e-01 2.584499e-01 3.100201e+04 1.041737e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.000000e+03 9.096686e-01 3.109314e-01 3.073854e+04 1.047632e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.100000e+03 8.797996e-01 2.808701e-01 2.687630e+04 1.039318e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.200000e+03 8.885093e-01 2.413815e-01 3.709484e+04 1.043482e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.300000e+03 8.925076e-01 3.173943e-01 3.708695e+04 1.038200e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.400000e+03 8.779151e-01 3.132721e-01 3.325139e+04 1.042484e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.500000e+03 8.945915e-01 2.600827e-01 2.551977e+04 1.040184e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.600000e+03 8.885763e-01 2.861453e-01 3.536368e+04 1.046269e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.700000e+03 9.254861e-01 2.747536e-01 2.475933e+04 1.044023e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.800000e+03 9.447270e-01 2.792070e-01 2.070519e+04 1.045837e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.900000e+03 9.499661e-01 2.746040e-01 1.711134e+04 1.040588e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.000000e+03 9.224880e-01 2.633636e-01 1.509770e+04 1.037586e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.100000e+03 8.964813e-01 2.401644e-01 2.096993e+04 1.042971e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.200000e+03 9.039835e-01 2.651977e-01 1.506560e+04 1.046218e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.300000e+03 9.177055e-01 2.394054e-01 1.805070e+04 1.039706e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.400000e+03 9.301819e-01 2.579122e-01 2.084047e+04 1.040909e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.500000e+03 8.901862e-01 2.410964e-01 2.084460e+04 1.044935e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.600000e+03 8.649001e-01 2.454830e-01 2.975658e+04 1.042833e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.700000e+03 8.872706e-01 2.503658e-01 1.790599e+04 1.048273e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.800000e+03 9.171160e-01 2.215920e-01 1.336169e+04 1.041849e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.900000e+03 9.137751e-01 2.380036e-01 1.125318e+04 1.039355e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+04 9.008157e-01 2.083792e-01 1.354446e+04 1.043098e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.010000e+04 9.144405e-01 2.318971e-01 1.280249e+04 1.041292e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.020000e+04 8.669389e-01 2.351864e-01 1.122772e+04 1.043783e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.030000e+04 9.896403e-01 2.249423e-01 8.164077e+03 1.040586e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.040000e+04 8.823808e-01 2.096220e-01 1.261363e+04 1.042344e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.050000e+04 8.718466e-01 2.147463e-01 1.323497e+04 1.040392e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.060000e+04 8.930444e-01 2.260071e-01 1.450706e+04 1.043979e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.070000e+04 8.333097e-01 2.091282e-01 8.933427e+03 1.039600e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.080000e+04 8.582253e-01 2.235457e-01 1.108662e+04 1.042723e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.090000e+04 8.906727e-01 2.454639e-01 9.846598e+03 1.042191e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.100000e+04 9.207699e-01 2.124083e-01 1.051315e+04 1.038841e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.110000e+04 9.041966e-01 2.205424e-01 8.687845e+03 1.043427e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.120000e+04 7.834727e-01 2.204475e-01 7.921419e+03 1.043503e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.130000e+04 8.631447e-01 2.218135e-01 8.009289e+03 1.047197e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.140000e+04 8.509045e-01 1.973861e-01 1.454714e+04 1.035369e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.150000e+04 8.652879e-01 2.004119e-01 7.010078e+03 1.041901e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.160000e+04 8.975400e-01 1.930379e-01 8.229348e+03 1.043192e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.170000e+04 9.197938e-01 1.616213e-01 7.618423e+03 1.045911e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.180000e+04 9.129841e-01 1.904014e-01 7.750940e+03 1.039661e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.190000e+04 8.600414e-01 1.984541e-01 8.171003e+03 1.039244e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.200000e+04 8.655866e-01 1.949104e-01 5.820718e+03 1.040967e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.210000e+04 8.797468e-01 1.955570e-01 4.431901e+03 1.037721e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.220000e+04 8.764670e-01 1.961101e-01 4.989723e+03 1.046757e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.230000e+04 9.187941e-01 1.883792e-01 4.753173e+03 1.042640e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.240000e+04 8.283720e-01 1.880483e-01 6.782113e+03 1.043127e+00 1.000000e+00 1.000000e+00 1.000000e+00
