# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
0.000000e+00 3.834300e+00 1.297923e-04 1.543206e+01 1.282979e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 7.805496e-01 2.246280e-05 1.589149e-01 1.046863e+00 1.188325e+02 5.366050e+03 1.008676e+00
2.000000e+02 7.918403e-01 5.998757e-06 4.021999e-02 1.043173e+00 1.948947e+01 1.905102e+03 1.054668e+00
3.000000e+02 7.639509e-01 2.149645e-05 8.026153e-02 1.048051e+00 2.285521e+01 1.636350e+03 1.046424e+00
4.000000e+02 7.066834e-01 1.680301e-05 4.666450e-02 1.051077e+00 2.957376e+01 1.293384e+03 1.035826e+00
5.000000e+02 7.348028e-01 5.121153e-04 1.453573e-01 1.057718e+00 3.427817e+01 9.560795e+02 1.031161e+00
6.000000e+02 6.296027e-01 5.874136e-04 7.843522e-02 1.038401e+00 3.950336e+01 6.211545e+02 1.027669e+00
7.000000e+02 6.212043e-01 6.370377e-05 1.386063e-01 1.049565e+00 4.415999e+01 3.164387e+02 1.026489e+00
8.000000e+02 5.977932e-01 4.331657e-03 1.102921e+00 1.038246e+00 5.983247e+01 1.692641e+02 1.023145e+00
9.000000e+02 5.460730e-01 4.187377e-03 4.191550e-01 1.032948e+00 1.021624e+02 1.367415e+02 1.017399e+00
1.000000e+03 5.822423e-01 2.164108e-03 5.943754e-01 1.072994e+00 1.312178e+02 8.981063e+01 1.019114e+00
1.100000e+03 4.973051e-01 1.664144e-02 8.087569e-01 1.042021e+00 1.635155e+02 5.771382e+01 1.024005e+00
1.200000e+03 3.943532e-01 4.114125e-02 1.155083e+00 1.030121e+00 1.983157e+02 4.366637e+01 1.028747e+00
1.300000e+03 4.100923e-01 1.054098e-02 1.680132e+00 1.023103e+00 3.438957e+02 4.596150e+01 1.025289e+00
1.400000e+03 3.907735e-01 1.136179e-01 3.456786e+00 1.022242e+00 4.151088e+02 4.721558e+01 1.024158e+00
1.500000e+03 4.224909e-01 1.311466e-01 6.468836e+00 1.032316e+00 6.669689e+02 4.487521e+01 1.024363e+00
1.600000e+03 3.745926e-01 2.978742e-02 2.992387e+00 1.012633e+00 6.188804e+02 3.777996e+01 1.028896e+00
1.700000e+03 3.251700e-01 8.190256e-02 7.945263e+00 1.017379e+00 5.119404e+02 1.857814e+01 1.059075e+00
1.800000e+03 3.121052e-01 1.402116e-01 1.015435e+01 1.012205e+00 1.351371e+03 3.362938e+01 1.031434e+00
1.900000e+03 2.573245e-01 2.683995e-01 4.296734e+00 1.001916e+00 1.043434e+03 2.690630e+01 1.039635e+00
2.000000e+03 2.064255e-01 4.631850e-01 4.163385e+01 9.996984e-01 1.845584e+03 2.551131e+01 1.041385e+00
2.100000e+03 1.749437e-01 4.780072e+00 2.405343e+01 9.830294e-01 1.891319e+03 1.547593e+01 1.069685e+00
2.200000e+03 1.205001e-01 8.207465e+00 5.255222e+01 9.767780e-01 4.106564e+03 2.148136e+01 1.049093e+00
2.300000e+03 8.744578e-02 1.107998e+00 9.018995e+01 9.700487e-01 1.468083e+04 4.368488e+01 1.023499e+00
2.400000e+03 5.417208e-02 4.858228e+00 2.403635e+02 9.634499e-01 1.844668e+04 3.310635e+01 1.031204e+00
2.500000e+03 4.589757e-02 8.631921e-01 9.135425e+01 9.589536e-01 2.997438e+04 2.781959e+01 1.037322e+00
2.600000e+03 4.666569e-02 5.717776e+00 1.902625e+02 9.562844e-01 4.483129e+04 3.554515e+01 1.028971e+00
2.700000e+03 3.439933e-02 2.193676e+00 1.411446e+02 9.564390e-01 4.255651e+04 2.808238e+01 1.036950e+00
2.800000e+03 3.956671e-02 1.245115e+00 1.035066e+02 9.565365e-01 3.886322e+04 2.292808e+01 1.045632e+00
2.900000e+03 3.690228e-02 3.013869e+00 1.532095e+02 9.534555e-01 6.095367e+04 3.792146e+01 1.027102e+00
3.000000e+03 4.281653e-02 3.463877e+00 2.371122e+02 9.549538e-01 6.210659e+04 3.939425e+01 1.026063e+00
3.100000e+03 3.906522e-02 8.620226e-01 1.025657e+02 9.547285e-01 4.026465e+04 2.406399e+01 1.043385e+00
3.200000e+03 2.954447e-02 6.165607e+00 3.764158e+02 9.519591e-01 9.941952e+04 4.867138e+01 1.020987e+00
3.300000e+03 2.438228e-02 1.019319e+00 2.330257e+02 9.502035e-01 6.222301e+04 3.647324e+01 1.028207e+00
3.400000e+03 3.016317e-02 8.385931e-01 1.584479e+02 9.511667e-01 2.173959e+04 1.128024e+01 1.097329e+00
3.500000e+03 3.065171e-02 2.731955e-01 2.744716e+02 9.475416e-01 8.616065e+04 4.258883e+01 1.024057e+00
3.600000e+03 2.738579e-02 6.016672e-01 1.281053e+02 9.452595e-01 5.941626e+04 3.146310e+01 1.032845e+00
3.700000e+03 2.624289e-02 6.100349e-01 1.555166e+02 9.422151e-01 6.392626e+04 3.111504e+01 1.033223e+00
3.800000e+03 2.125918e-02 3.352328e-01 7.192651e+01 9.382130e-01 6.962044e+04 3.440446e+01 1.029951e+00
3.900000e+03 2.117507e-02 8.302450e-01 2.500473e+02 9.350323e-01 6.644813e+04 2.991511e+01 1.034600e+00
4.000000e+03 2.387240e-02 2.163457e-01 2.389327e+02 9.319512e-01 6.115663e+04 2.983249e+01 1.034701e+00
4.100000e+03 1.897866e-02 3.160383e-01 6.444933e+02 9.326111e-01 1.287543e+05 7.189374e+01 1.014114e+00
4.200000e+03 1.892304e-02 4.375607e-01 6.695261e+01 9.317468e-01 4.008457e+04 2.071708e+01 1.050745e+00
4.300000e+03 1.665105e-02 4.627520e-01 2.468743e+02 9.296709e-01 5.701311e+04 3.229363e+01 1.031974e+00
4.400000e+03 2.118809e-02 3.411932e-01 1.106216e+02 9.271168e-01 7.485215e+04 4.193014e+01 1.024446e+00
4.500000e+03 1.906322e-02 4.498746e-01 5.795668e+01 9.274421e-01 4.132097e+04 2.380858e+01 1.043870e+00
4.600000e+03 1.988930e-02 5.638869e-01 1.710114e+02 9.247102e-01 1.075490e+05 5.704453e+01 1.017853e+00
