# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
0.000000e+00 3.834300e+00 1.297923e-04 1.543206e+01 1.282979e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 8.657784e-01 3.623830e-04 9.519041e-03 1.042897e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.000000e+02 8.764718e-01 5.225783e-04 4.217602e-03 1.039905e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.000000e+02 8.613601e-01 4.057337e-03 3.567726e-03 1.037538e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.000000e+02 7.993351e-01 9.196598e-03 2.902441e-03 1.039347e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.000000e+02 8.411921e-01 1.443932e-02 2.202285e-03 1.039559e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.000000e+02 7.456489e-01 1.860336e-02 1.713277e-03 1.034040e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.000000e+02 8.164403e-01 2.072907e-02 1.362789e-03 1.033022e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.000000e+02 7.363318e-01 2.186787e-02 1.045959e-03 1.031970e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.000000e+02 7.922373e-01 2.246416e-02 6.641634e-04 1.031054e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+03 8.686764e-01 2.261691e-02 5.807564e-04 1.039046e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.100000e+03 8.194058e-01 2.224973e-02 4.139302e-04 1.036331e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.200000e+03 7.612259e-01 2.152916e-02 3.547709e-04 1.035270e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.300000e+03 7.074013e-01 2.079697e-02 4.569628e-04 1.036116e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.400000e+03 7.896927e-01 1.913160e-02 5.094544e-04 1.041448e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.500000e+03 7.217696e-01 1.729516e-02 7.368318e-04 1.042086e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.600000e+03 7.372237e-01 1.568365e-02 8.796540e-04 1.041231e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.700000e+03 7.680346e-01 1.475739e-02 1.479168e-03 1.042564e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.800000e+03 7.032331e-01 1.095778e-02 7.174512e-03 1.042958e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.900000e+03 7.117588e-01 8.187860e-03 5.387957e-03 1.049185e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.000000e+03 6.995832e-01 6.142611e-03 2.176299e-03 1.049705e+00 1.000000e+00 1.000000e+00 1.000000e+00
