# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
0.000000e+00 3.381634e+00 1.652550e+02 7.516962e+05 1.692688e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 3.799865e-02 1.104315e-02 4.568834e+04 9.810221e-01 9.108540e+05 2.127612e+04 1.000048e+00
2.000000e+02 2.611470e-02 3.742886e-03 1.656878e+04 9.752094e-01 6.858705e+05 4.268569e+04 1.000025e+00
3.000000e+02 1.328850e-02 2.278179e-03 1.689751e+04 9.631437e-01 7.512372e+05 4.347707e+04 1.000024e+00
4.000000e+02 8.199878e-03 1.089387e-02 1.226963e+04 9.498170e-01 8.127889e+05 4.141520e+04 1.000025e+00
5.000000e+02 5.358953e-03 2.754577e-02 7.868213e+03 9.357844e-01 8.752685e+05 4.012783e+04 1.000026e+00
6.000000e+02 4.301928e-03 4.999922e-03 7.669442e+03 9.216850e-01 9.337096e+05 4.041007e+04 1.000026e+00
7.000000e+02 4.139103e-03 4.719693e-04 5.498465e+03 9.079040e-01 9.575527e+05 4.350240e+04 1.000024e+00
8.000000e+02 3.480747e-03 1.150201e-02 5.405267e+03 8.957996e-01 1.002187e+06 6.409723e+04 1.000017e+00
9.000000e+02 3.308863e-03 2.192855e-02 4.818080e+03 8.825015e-01 1.019166e+06 6.768178e+04 1.000016e+00
1.000000e+03 3.039712e-03 1.284528e-02 4.538728e+03 8.713951e-01 9.899598e+05 6.875782e+04 1.000016e+00
1.100000e+03 2.189110e-03 4.968488e-04 4.102342e+03 8.574633e-01 9.754041e+05 8.486615e+04 1.000013e+00
1.200000e+03 2.366025e-03 4.260566e-04 3.484858e+03 8.475961e-01 9.645693e+05 9.898214e+04 1.000011e+00
1.300000e+03 2.584982e-03 1.029652e-03 3.125847e+03 8.375467e-01 9.635931e+05 1.131132e+05 1.000010e+00
1.400000e+03 2.151037e-03 1.030087e-03 3.350811e+03 8.256765e-01 9.802515e+05 1.272985e+05 1.000009e+00
1.500000e+03 2.407382e-03 6.541144e-04 3.824750e+03 8.180235e-01 9.373108e+05 1.339128e+05 1.000009e+00
1.600000e+03 2.413586e-03 1.878635e-04 4.608650e+03 8.110080e-01 9.424872e+05 1.733869e+05 1.000007e+00
1.700000e+03 2.077200e-03 4.198860e-04 2.854626e+03 8.006120e-01 8.979931e+05 2.082204e+05 1.000006e+00
1.800000e+03 2.224897e-03 7.831362e-04 3.351875e+03 7.898256e-01 8.748200e+05 2.174461e+05 1.000006e+00
1.900000e+03 2.258892e-03 1.336755e-02 2.571273e+03 7.786948e-01 8.586814e+05 2.127265e+05 1.000006e+00
2.000000e+03 1.990706e-03 9.972152e-04 2.839684e+03 7.657274e-01 8.826245e+05 2.135806e+05 1.000006e+00
2.100000e+03 2.171108e-03 6.657972e-04 3.264823e+03 7.552245e-01 8.753306e+05 2.147536e+05 1.000006e+00
2.200000e+03 1.770444e-03 1.653998e-04 2.619059e+03 7.443255e-01 8.741490e+05 2.277034e+05 1.000006e+00
2.300000e+03 2.044900e-03 2.401930e-03 4.661013e+03 7.362504e-01 8.853367e+05 2.243543e+05 1.000006e+00
2.400000e+03 1.755403e-03 4.104875e-04 2.059980e+03 7.271635e-01 8.621116e+05 2.600541e+05 1.000005e+00
2.500000e+03 2.075240e-03 1.093923e-02 1.816725e+03 7.130075e-01 8.210037e+05 2.491208e+05 1.000005e+00
2.600000e+03 1.987687e-03 1.930782e-04 2.334084e+03 6.995009e-01 8.239475e+05 2.429513e+05 1.000005e+00
2.700000e+03 1.980519e-03 3.696392e-04 3.642961e+03 7.039622e-01 9.070220e+05 2.560612e+05 1.000005e+00
2.800000e+03 1.564724e-03 3.791113e-03 2.124519e+03 6.895274e-01 7.996060e+05 3.052849e+05 1.000005e+00
2.900000e+03 2.068095e-03 1.193035e-04 2.170906e+03 6.758374e-01 8.037493e+05 2.969324e+05 1.000005e+00
3.000000e+03 1.726201e-03 1.062572e-04 1.849612e+03 6.613596e-01 8.541104e+05 3.093639e+05 1.000004e+00
3.100000e+03 1.590725e-03 6.961873e-04 1.963894e+03 6.468682e-01 7.918992e+05 2.736445e+05 1.000005e+00
3.200000e+03 1.362795e-03 1.067513e-04 1.844281e+03 6.320237e-01 8.364399e+05 2.567388e+05 1.000005e+00
3.300000e+03 1.610392e-03 1.039970e-04 1.787526e+03 6.197607e-01 8.234799e+05 2.618527e+05 1.000005e+00
3.400000e+03 1.364470e-03 1.135404e-04 2.500224e+03 6.103900e-01 8.233773e+05 2.747322e+05 1.000005e+00
