# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
0.000000e+00 3.381634e+00 1.652550e+02 7.516962e+05 1.692688e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+02 3.507295e+00 3.228196e+00 1.346597e+03 1.464081e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.000000e+02 2.873656e+00 1.545586e+00 6.578129e+02 1.343559e+00 1.000000e+00 1.000000e+00 1.000000e+00
3.000000e+02 2.355561e+00 8.996211e-01 3.253425e+02 1.242058e+00 1.000000e+00 1.000000e+00 1.000000e+00
4.000000e+02 1.939565e+00 6.971009e-01 2.299462e+02 1.162217e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.000000e+02 1.663984e+00 5.217230e-01 1.651387e+02 1.094828e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.000000e+02 1.291821e+00 3.971270e-01 1.592051e+02 1.052082e+00 1.000000e+00 1.000000e+00 1.000000e+00
7.000000e+02 1.235827e+00 3.839923e-01 1.072142e+02 1.024214e+00 1.000000e+00 1.000000e+00 1.000000e+00
8.000000e+02 9.803020e-01 3.525907e-01 9.734618e+01 1.009274e+00 1.000000e+00 1.000000e+00 1.000000e+00
9.000000e+02 1.008532e+00 2.793633e-01 8.580472e+01 1.002986e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+03 1.057334e+00 1.737545e-01 6.690882e+01 1.003248e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.100000e+03 9.356954e-01 1.799112e-01 6.047467e+01 1.006687e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.200000e+03 8.709057e-01 1.650234e-01 5.890161e+01 1.011933e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.300000e+03 7.825516e-01 1.570054e-01 4.336667e+01 1.017696e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.400000e+03 8.845811e-01 1.399512e-01 4.691800e+01 1.023020e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.500000e+03 7.941357e-01 1.370050e-01 4.368774e+01 1.026853e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.600000e+03 8.105572e-01 1.300470e-01 4.293954e+01 1.030620e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.700000e+03 8.641074e-01 1.011690e-01 5.434163e+01 1.033772e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.800000e+03 7.948405e-01 1.040450e-01 6.812432e+01 1.034407e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.900000e+03 8.036218e-01 9.221122e-02 2.975726e+01 1.036242e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.000000e+03 7.849222e-01 8.983634e-02 2.712594e+01 1.038320e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.100000e+03 8.394166e-01 8.384468e-02 3.519714e+01 1.038677e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.200000e+03 8.145944e-01 7.464346e-02 4.132998e+01 1.037670e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.300000e+03 7.697203e-01 7.618185e-02 2.433510e+01 1.039687e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.400000e+03 8.431152e-01 7.259128e-02 4.464721e+01 1.040637e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.500000e+03 7.954145e-01 7.520796e-02 4.152522e+01 1.039136e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.600000e+03 7.766914e-01 7.574157e-02 5.563661e+01 1.039024e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.700000e+03 8.371956e-01 5.620937e-02 3.540145e+01 1.037992e+00 1.000000e+00 1.000000e+00 1.000000e+00
2.800000e+03 8.409944e-01 5.982973e-02 2.497158e+01 1.039205e+00 1.000000e+00 1.000000e+00 1.000000e+00
