# iteration  loss_bcs  loss_res  l2_error
0.000000e+00 2.745344e-01 1.229539e+04 1.399572e+00
1.000000e+02 7.192358e+01 1.076077e+03 6.725097e+00
2.000000e+02 4.121050e+00 4.499611e+02 1.533106e+00
3.000000e+02 1.894624e+00 2.503232e+02 1.189093e+00
4.000000e+02 3.239966e+00 1.528463e+02 1.503969e+00
5.000000e+02 2.767458e+00 9.616244e+01 1.379749e+00
6.000000e+02 2.056826e+00 6.050500e+01 1.184931e+00
7.000000e+02 1.401971e+00 3.816844e+01 9.758740e-01
8.000000e+02 8.811532e-01 2.439369e+01 7.723259e-01
9.000000e+02 5.100714e-01 1.594589e+01 5.870337e-01
1.000000e+03 2.891608e-01 1.074850e+01 4.417658e-01
1.100000e+03 1.615187e-01 7.475864e+00 3.301048e-01
1.200000e+03 9.017979e-02 5.355461e+00 2.466984e-01
1.300000e+03 5.118546e-02 3.954285e+00 1.859454e-01
1.400000e+03 2.980749e-02 3.013732e+00 1.419936e-01
1.500000e+03 1.788411e-02 2.366695e+00 1.100765e-01
1.600000e+03 1.110625e-02 1.904002e+00 8.682115e-02
1.700000e+03 7.167177e-03 1.557069e+00 6.980920e-02
1.800000e+03 4.809388e-03 1.285513e+00 5.723753e-02
1.900000e+03 3.343842e-03 1.066691e+00 4.776868e-02
2.000000e+03 2.392452e-03 8.878643e-01 4.044118e-02
2.100000e+03 1.747761e-03 7.411320e-01 3.459503e-02
2.200000e+03 1.294941e-03 6.208147e-01 2.979999e-02
2.300000e+03 9.677462e-04 5.222920e-01 2.578076e-02
2.400000e+03 7.273383e-04 4.416177e-01 2.236657e-02
2.500000e+03 5.485998e-04 3.754101e-01 1.944090e-02
2.600000e+03 4.152370e-04 3.208342e-01 1.692588e-02
2.700000e+03 3.153074e-04 2.755642e-01 1.475799e-02
2.800000e+03 2.402770e-04 2.377056e-01 1.289446e-02
2.900000e+03 1.840890e-04 2.057659e-01 1.129467e-02
3.000000e+03 1.416881e-04 1.785755e-01 9.918023e-03
3.100000e+03 1.097470e-04 1.552275e-01 8.734528e-03
3.200000e+03 8.546741e-05 1.350222e-01 7.715720e-03
3.300000e+03 6.704874e-05 1.174451e-01 6.839489e-03
3.400000e+03 5.285961e-05 1.020935e-01 6.077888e-03
3.500000e+03 4.189814e-05 8.866223e-02 5.415108e-03
3.600000e+03 3.338138e-05 7.691042e-02 4.838807e-03
3.700000e+03 2.673079e-05 6.664903e-02 4.334576e-03
3.800000e+03 2.142703e-05 5.771017e-02 3.883993e-03
3.900000e+03 1.724367e-05 4.996502e-02 3.490209e-03
4.000000e+03 1.389852e-05 4.327954e-02 3.135996e-03
4.100000e+03 1.122475e-05 3.753823e-02 2.823065e-03
4.200000e+03 9.051562e-06 3.262707e-02 2.537789e-03
4.300000e+03 7.040891e-06 2.846155e-02 2.350301e-03
4.400000e+03 8.081252e-06 2.514397e-02 1.715813e-03
4.500000e+03 4.820236e-06 2.193841e-02 1.843272e-03
4.600000e+03 3.719221e-06 1.942345e-02 1.699136e-03
4.700000e+03 4.559396e-06 1.733954e-02 1.288536e-03
4.800000e+03 3.074524e-07 1.583933e-02 2.453807e-03
4.900000e+03 2.323958e-06 1.400358e-02 9.704627e-04
5.000000e+03 9.228224e-07 1.276561e-02 1.435007e-03
5.100000e+03 7.084080e-07 1.168601e-02 1.110670e-03
5.200000e+03 3.043397e-06 1.085279e-02 4.331930e-04
5.300000e+03 6.239719e-07 9.909750e-03 9.882684e-04
5.400000e+03 7.131026e-07 9.192818e-03 8.233315e-04
5.500000e+03 3.073957e-09 8.741026e-03 1.307454e-03
5.600000e+03 1.391313e-06 8.034576e-03 1.130897e-03
5.700000e+03 2.876712e-06 7.955791e-03 1.385443e-03
5.800000e+03 2.371392e-06 7.182240e-03 4.992280e-04
5.900000e+03 3.579155e-07 6.562423e-03 5.194096e-04
6.000000e+03 3.071601e-07 6.162021e-03 4.711026e-04
6.100000e+03 1.893630e-07 5.790076e-03 4.700034e-04
6.200000e+03 6.087098e-06 6.134281e-03 2.618448e-03
6.300000e+03 1.123932e-06 5.770482e-03 1.154711e-03
6.400000e+03 4.471245e-06 5.501594e-03 2.135124e-03
6.500000e+03 1.307158e-05 7.998399e-03 4.401279e-03
6.600000e+03 7.891783e-07 4.306979e-03 3.579419e-04
6.700000e+03 1.981504e-07 4.140601e-03 1.092800e-03
6.800000e+03 1.707198e-07 3.795754e-03 4.021489e-04
6.900000e+03 4.324333e-08 3.588973e-03 4.035542e-04
7.000000e+03 1.806563e-07 3.581855e-03 9.121148e-04
7.100000e+03 9.066856e-08 3.255642e-03 7.540897e-04
7.200000e+03 1.017794e-05 5.917730e-03 5.683984e-03
7.300000e+03 3.973800e-06 4.111858e-03 4.012697e-03
7.400000e+03 4.539883e-05 1.056929e-02 8.736226e-03
7.500000e+03 9.564628e-07 2.815874e-03 7.629575e-04
7.600000e+03 1.510842e-06 2.834861e-03 1.975016e-03
7.700000e+03 1.009157e-08 2.354846e-03 4.986201e-04
7.800000e+03 1.673728e-07 2.247133e-03 2.078123e-04
7.900000e+03 1.519918e-06 2.719237e-03 2.504785e-03
8.000000e+03 2.385707e-06 2.355837e-03 1.721320e-03
8.100000e+03 2.915112e-06 4.967276e-03 4.286988e-03
8.200000e+03 2.619921e-07 2.000617e-03 5.277971e-04
8.300000e+03 2.239185e-07 2.708248e-03 2.042126e-03
8.400000e+03 2.381520e-07 1.781637e-03 6.145798e-04
8.500000e+03 2.793652e-06 2.268439e-03 1.465911e-03
8.600000e+03 2.992877e-10 1.638602e-03 1.466145e-04
