# iteration  lambda_u  lambda_ut  lambda_r
0.000000e+00 7.739470e+00 3.378030e+00 1.739852e+00
1.000000e+02 1.486902e+01 4.207078e+00 1.438743e+00
2.000000e+02 2.219193e+01 6.137789e+00 1.262605e+00
3.000000e+02 5.940537e+01 1.009295e+01 1.131110e+00
4.000000e+02 9.992683e+01 1.380516e+01 1.089852e+00
5.000000e+02 1.494776e+02 1.155420e+01 1.102826e+00
6.000000e+02 1.965054e+02 1.296950e+01 1.089553e+00
7.000000e+02 2.774221e+02 1.423079e+01 1.079768e+00
8.000000e+02 3.297028e+02 1.330659e+01 1.084815e+00
9.000000e+02 3.777745e+02 1.242406e+01 1.090674e+00
1.000000e+03 5.168459e+02 1.082618e+01 1.104123e+00
1.100000e+03 8.008047e+02 1.399473e+01 1.078405e+00
1.200000e+03 6.492335e+02 1.097997e+01 1.102068e+00
1.300000e+03 1.035910e+03 1.332654e+01 1.082255e+00
1.400000e+03 1.067670e+03 1.030151e+01 1.108659e+00
1.500000e+03 1.416102e+03 1.252809e+01 1.087579e+00
1.600000e+03 1.551485e+03 1.277017e+01 1.085720e+00
1.700000e+03 1.570052e+03 1.495767e+01 1.072377e+00
1.800000e+03 1.873055e+03 1.342837e+01 1.081085e+00
1.900000e+03 2.168951e+03 1.505919e+01 1.071657e+00
2.000000e+03 1.936135e+03 1.256436e+01 1.087083e+00
2.100000e+03 2.406504e+03 1.537870e+01 1.070023e+00
2.200000e+03 2.607130e+03 1.485182e+01 1.072634e+00
2.300000e+03 2.617423e+03 1.473409e+01 1.073251e+00
2.400000e+03 2.651567e+03 1.438181e+01 1.075164e+00
2.500000e+03 2.921923e+03 1.543226e+01 1.069681e+00
2.600000e+03 2.844413e+03 1.534682e+01 1.070104e+00
2.700000e+03 2.972170e+03 1.635111e+01 1.065524e+00
2.800000e+03 3.222900e+03 1.704059e+01 1.062692e+00
2.900000e+03 3.074295e+03 1.658165e+01 1.064547e+00
3.000000e+03 3.606987e+03 1.827324e+01 1.058203e+00
3.100000e+03 3.361717e+03 1.685550e+01 1.063406e+00
3.200000e+03 3.665135e+03 1.929943e+01 1.054950e+00
3.300000e+03 3.688606e+03 1.870855e+01 1.056773e+00
3.400000e+03 3.839017e+03 1.970738e+01 1.053744e+00
3.500000e+03 4.222046e+03 2.047262e+01 1.051616e+00
3.600000e+03 4.096582e+03 2.069266e+01 1.051050e+00
3.700000e+03 4.380246e+03 2.254643e+01 1.046661e+00
3.800000e+03 5.005323e+03 2.547771e+01 1.041070e+00
3.900000e+03 4.913816e+03 2.484221e+01 1.042163e+00
4.000000e+03 5.092994e+03 2.590711e+01 1.040362e+00
4.100000e+03 5.814568e+03 3.000860e+01 1.034657e+00
4.200000e+03 5.126397e+03 2.513929e+01 1.041638e+00
4.300000e+03 5.248827e+03 2.455770e+01 1.042656e+00
4.400000e+03 5.329611e+03 2.622742e+01 1.039842e+00
4.500000e+03 5.725976e+03 2.908408e+01 1.035795e+00
4.600000e+03 5.856137e+03 2.782147e+01 1.037467e+00
