# iteration  loss_res  loss_bcs  loss_ut  l2_error  lambda_u  lambda_ut  lambda_r
0.000000e+00 8.082360e-03 6.517084e-01 2.534355e-04 2.304303e+00 7.739470e+00 3.378030e+00 1.739852e+00
1.000000e+02 3.235827e-03 3.046444e-01 3.727631e-02 1.092264e+00 1.486902e+01 4.207078e+00 1.438743e+00
2.000000e+02 3.645344e-02 3.048803e-01 1.670899e-02 1.049228e+00 2.219193e+01 6.137789e+00 1.262605e+00
3.000000e+02 1.446767e-01 2.158761e-01 2.797250e-02 8.205787e-01 5.940537e+01 1.009295e+01 1.131110e+00
4.000000e+02 5.146657e-01 1.730837e-01 3.599581e-02 6.729640e-01 9.992683e+01 1.380516e+01 1.089852e+00
5.000000e+02 1.073846e+00 1.387981e-01 2.779510e-02 6.452272e-01 1.494776e+02 1.155420e+01 1.102826e+00
6.000000e+02 6.098979e-01 1.265942e-01 7.965157e-02 6.460309e-01 1.965054e+02 1.296950e+01 1.089553e+00
7.000000e+02 2.319651e+00 1.129547e-01 1.079872e-01 6.210762e-01 2.774221e+02 1.423079e+01 1.079768e+00
8.000000e+02 1.810236e+00 1.130452e-01 9.293040e-02 5.998882e-01 3.297028e+02 1.330659e+01 1.084815e+00
9.000000e+02 1.423967e+00 1.004791e-01 1.061988e-01 6.018839e-01 3.777745e+02 1.242406e+01 1.090674e+00
1.000000e+03 2.400621e+00 9.300076e-02 1.381779e-01 5.712128e-01 5.168459e+02 1.082618e+01 1.104123e+00
1.100000e+03 4.200337e+00 8.878416e-02 3.208547e-01 5.463559e-01 8.008047e+02 1.399473e+01 1.078405e+00
1.200000e+03 5.377402e+00 7.106093e-02 3.690758e-01 5.589916e-01 6.492335e+02 1.097997e+01 1.102068e+00
1.300000e+03 4.310888e+00 6.076106e-02 3.624103e-01 5.251408e-01 1.035910e+03 1.332654e+01 1.082255e+00
1.400000e+03 8.002914e+00 5.588644e-02 6.652268e-01 4.989512e-01 1.067670e+03 1.030151e+01 1.108659e+00
1.500000e+03 5.498895e+00 3.568200e-02 5.733796e-01 4.662948e-01 1.416102e+03 1.252809e+01 1.087579e+00
1.600000e+03 5.806049e+00 4.609428e-02 9.297747e-01 4.525795e-01 1.551485e+03 1.277017e+01 1.085720e+00
1.700000e+03 7.025767e+00 4.444093e-02 4.141128e-01 4.323113e-01 1.570052e+03 1.495767e+01 1.072377e+00
1.800000e+03 4.255689e+00 3.699001e-02 4.914977e-01 3.973547e-01 1.873055e+03 1.342837e+01 1.081085e+00
1.900000e+03 7.142881e+00 2.017998e-02 5.696586e-01 3.572941e-01 2.168951e+03 1.505919e+01 1.071657e+00
2.000000e+03 8.122087e+00 2.338532e-02 2.710108e-01 3.520704e-01 1.936135e+03 1.256436e+01 1.087083e+00
2.100000e+03 6.662734e+00 1.754129e-02 1.095979e-01 3.259013e-01 2.406504e+03 1.537870e+01 1.070023e+00
2.200000e+03 8.280756e+00 1.433396e-02 8.528259e-02 3.091218e-01 2.607130e+03 1.485182e+01 1.072634e+00
2.300000e+03 5.909273e+00 1.225596e-02 1.810697e-01 2.984754e-01 2.617423e+03 1.473409e+01 1.073251e+00
2.400000e+03 8.023656e+00 1.038932e-02 6.829081e-02 2.925727e-01 2.651567e+03 1.438181e+01 1.075164e+00
2.500000e+03 6.675145e+00 1.113572e-02 8.900566e-02 2.776657e-01 2.921923e+03 1.543226e+01 1.069681e+00
2.600000e+03 9.820646e+00 1.019098e-02 2.204517e-01 2.701038e-01 2.844413e+03 1.534682e+01 1.070104e+00
2.700000e+03 9.696553e+00 8.534139e-03 5.891544e-02 2.588842e-01 2.972170e+03 1.635111e+01 1.065524e+00
2.800000e+03 8.364594e+00 8.884828e-03 6.982980e-02 2.518912e-01 3.222900e+03 1.704059e+01 1.062692e+00
2.900000e+03 4.845856e+00 7.757818e-03 7.711509e-02 2.441344e-01 3.074295e+03 1.658165e+01 1.064547e+00
3.000000e+03 6.726147e+00 7.686459e-03 4.291900e-02 2.439817e-01 3.606987e+03 1.827324e+01 1.058203e+00
3.100000e+03 6.316072e+00 5.787420e-03 5.854877e-02 2.318573e-01 3.361717e+03 1.685550e+01 1.063406e+00
3.200000e+03 5.486959e+00 7.306470e-03 8.188900e-02 2.273779e-01 3.665135e+03 1.929943e+01 1.054950e+00
3.300000e+03 8.869055e+00 8.139361e-03 9.042573e-02 2.212851e-01 3.688606e+03 1.870855e+01 1.056773e+00
3.400000e+03 9.062235e+00 5.488552e-03 9.253413e-02 2.087498e-01 3.839017e+03 1.970738e+01 1.053744e+00
3.500000e+03 8.100432e+00 4.928357e-03 5.786387e-02 2.002665e-01 4.222046e+03 2.047262e+01 1.051616e+00
3.600000e+03 6.565517e+00 4.845771e-03 3.528794e-02 1.978043e-01 4.096582e+03 2.069266e+01 1.051050e+00
3.700000e+03 5.187013e+00 5.232748e-03 9.124652e-02 1.875591e-01 4.380246e+03 2.254643e+01 1.046661e+00
3.800000e+03 6.576502e+00 4.643650e-03 6.962508e-02 1.813077e-01 5.005323e+03 2.547771e+01 1.041070e+00
3.900000e+03 9.785840e+00 4.351998e-03 3.005366e-01 1.728516e-01 4.913816e+03 2.484221e+01 1.042163e+00
4.000000e+03 5.959775e+00 4.122517e-03 1.069785e-01 1.659578e-01 5.092994e+03 2.590711e+01 1.040362e+00
4.100000e+03 6.773643e+00 3.342441e-03 9.058058e-02 1.627955e-01 5.814568e+03 3.000860e+01 1.034657e+00
4.200000e+03 5.859222e+00 3.482715e-03 2.907440e-02 1.549185e-01 5.126397e+03 2.513929e+01 1.041638e+00
4.300000e+03 5.335308e+00 2.369324e-03 4.339186e-02 1.495546e-01 5.248827e+03 2.455770e+01 1.042656e+00
4.400000e+03 6.946385e+00 2.252365e-03 1.990718e-02 1.465474e-01 5.329611e+03 2.622742e+01 1.039842e+00
4.500000e+03 4.944015e+00 2.741976e-03 5.858497e-02 1.413234e-01 5.725976e+03 2.908408e+01 1.035795e+00
4.600000e+03 3.532264e+00 2.101372e-03 6.660049e-02 1.377534e-01 5.856137e+03 2.782147e+01 1.037467e+00
4.700000e+03 5.275118e+00 2.347514e-03 4.567838e-02 1.344976e-01 5.722682e+03 2.838448e+01 1.036705e+00
4.800000e+03 6.093822e+00 3.260559e-03 2.012309e-01 1.350823e-01 6.201431e+03 3.465045e+01 1.029888e+00
4.900000e+03 4.034954e+00 1.928179e-03 3.095661e-01 1.300435e-01 6.315223e+03 3.296622e+01 1.031451e+00
5.000000e+03 5.171034e+00 1.849824e-03 1.243797e-02 1.247233e-01 6.117936e+03 3.202040e+01 1.032411e+00
5.100000e+03 5.371375e+00 1.969599e-03 8.101583e-03 1.242111e-01 5.810520e+03 2.713138e+01 1.038454e+00
5.200000e+03 4.230041e+00 1.776792e-03 8.599573e-03 1.169869e-01 6.450577e+03 3.046626e+01 1.034103e+00
5.300000e+03 3.362415e+00 1.740260e-03 5.207861e-02 1.192352e-01 6.370509e+03 3.354849e+01 1.030890e+00
5.400000e+03 4.639764e+00 1.541122e-03 6.812863e-02 1.149023e-01 6.481727e+03 3.245872e+01 1.031952e+00
5.500000e+03 3.619892e+00 1.070819e-03 6.003521e-02 1.120957e-01 6.849942e+03 3.459104e+01 1.029925e+00
5.600000e+03 5.443581e+00 1.572849e-03 4.073587e-02 1.167183e-01 6.358531e+03 3.291529e+01 1.031500e+00
5.700000e+03 4.695819e+00 1.086311e-03 3.551008e-02 1.064664e-01 6.111401e+03 3.056351e+01 1.034000e+00
5.800000e+03 2.388829e+00 1.435544e-03 1.349058e-02 1.089578e-01 6.732581e+03 3.491076e+01 1.029647e+00
5.900000e+03 3.360570e+00 1.272327e-03 3.295964e-02 1.062241e-01 6.419570e+03 3.031054e+01 1.034284e+00
6.000000e+03 3.371384e+00 1.191527e-03 4.912862e-03 1.048812e-01 6.139134e+03 3.226363e+01 1.032160e+00
6.100000e+03 4.177931e+00 1.210389e-03 2.622855e-02 1.039075e-01 6.545252e+03 3.298191e+01 1.031430e+00
6.200000e+03 3.297745e+00 1.473980e-03 9.078347e-03 9.692837e-02 6.461961e+03 3.153908e+01 1.032910e+00
6.300000e+03 4.998023e+00 1.223196e-03 3.623089e-02 9.461031e-02 7.466408e+03 3.532940e+01 1.029271e+00
6.400000e+03 4.649689e+00 9.464169e-04 4.045451e-02 1.000216e-01 6.507909e+03 3.462793e+01 1.029900e+00
6.500000e+03 2.572899e+00 8.919433e-04 9.479891e-02 8.992436e-02 6.482668e+03 3.286821e+01 1.031543e+00
6.600000e+03 3.445274e+00 9.798685e-04 3.824257e-02 8.832615e-02 6.577405e+03 3.423346e+01 1.030252e+00
6.700000e+03 2.446976e+00 9.188480e-04 3.397918e-02 8.818919e-02 6.502999e+03 3.430760e+01 1.030186e+00
6.800000e+03 2.271728e+00 6.994572e-04 3.450305e-03 8.375353e-02 6.727416e+03 3.477673e+01 1.029764e+00
6.900000e+03 1.955236e+00 1.006140e-03 7.546413e-03 7.892650e-02 6.470752e+03 3.302706e+01 1.031388e+00
7.000000e+03 1.993730e+00 7.653608e-04 2.227101e-02 7.848103e-02 6.485772e+03 3.326126e+01 1.031161e+00
7.100000e+03 1.614747e+00 6.554361e-04 1.579957e-02 7.403674e-02 6.501906e+03 3.313249e+01 1.031285e+00
7.200000e+03 2.697014e+00 7.492379e-04 4.761297e-02 7.221469e-02 5.898512e+03 2.966529e+01 1.035067e+00
7.300000e+03 1.604343e+00 5.816183e-04 8.644238e-03 6.936565e-02 6.143207e+03 3.099333e+01 1.033515e+00
7.400000e+03 1.096526e+00 4.994746e-04 3.769762e-03 6.928991e-02 6.539438e+03 3.358091e+01 1.030855e+00
7.500000e+03 1.577745e+00 5.373078e-04 2.451463e-02 6.991996e-02 6.208669e+03 3.189858e+01 1.032536e+00
7.600000e+03 1.323366e+00 4.100248e-04 5.425724e-03 6.268351e-02 6.371066e+03 3.080637e+01 1.033718e+00
7.700000e+03 1.036398e+00 5.524534e-04 7.570541e-03 5.734228e-02 6.483022e+03 3.390800e+01 1.030552e+00
7.800000e+03 2.214461e+00 5.082043e-04 6.182686e-02 5.829346e-02 6.999420e+03 3.502994e+01 1.029537e+00
7.900000e+03 1.190816e+00 5.260197e-04 3.631235e-02 5.231814e-02 6.320112e+03 3.444736e+01 1.030066e+00
8.000000e+03 1.147386e+00 5.213306e-04 8.184391e-02 5.128402e-02 6.598254e+03 3.228788e+01 1.032123e+00
8.100000e+03 8.952897e-01 3.876539e-04 1.019027e-02 5.166139e-02 6.355903e+03 3.202475e+01 1.032400e+00
8.200000e+03 1.323663e+00 3.537552e-04 1.560838e-02 4.598926e-02 6.355118e+03 3.103035e+01 1.033468e+00
8.300000e+03 1.663031e+00 3.484918e-04 1.363747e-02 4.727674e-02 6.363196e+03 3.018045e+01 1.034438e+00
8.400000e+03 6.906176e-01 3.637130e-04 3.623347e-03 4.049378e-02 6.275611e+03 3.253108e+01 1.031884e+00
8.500000e+03 4.597330e-01 2.244225e-04 1.441970e-03 4.167385e-02 6.473884e+03 3.418056e+01 1.030302e+00
8.600000e+03 6.591391e-01 2.582470e-04 3.561246e-03 3.839313e-02 6.489323e+03 3.301936e+01 1.031395e+00
