case,method,budget,n_seeds,target_params,matched_within_tol,total_params_mean,total_params_std,best_l2_mean,best_l2_std,final_l2_mean,final_l2_std,wall_clock_train_sec_mean,wall_clock_train_sec_std,ms_per_100_epoch_mean,ms_per_100_epoch_std,peak_gpu_mem_mb_mean,peak_gpu_mem_mb_std,inference_time_ms_mean,inference_time_ms_std,n_collocation_mean,n_collocation_std,best_l2_min
case1,FourierPINN,matched,3,3730,True,3847.0,0.0,0.0019285910577276054,0.00016719670207189825,0.004907152054442667,0.002992678261592838,14.599123557408651,0.09437765793929517,145.99123557408652,0.9437765793929518,200.468992,0.0,nan,nan,10000.0,0.0,0.0016949418466302194
case1,FourierPINN,rich,3,,,66177.0,0.0,0.0011789998782675223,0.00014856254325814995,0.013851378935209338,0.01332714101745695,24.883832772572834,0.31522487178460606,248.83832772572836,3.15224871784606,270.515712,0.0,nan,nan,10000.0,0.0,0.001064535243731249
case1,PINN,matched,3,3730,True,3707.0,0.0,0.8281582401715927,0.12464862990483783,0.8281582401715927,0.12464862990483783,14.887087424596151,0.22692338642174237,148.87087424596152,2.2692338642174135,89.53216000000002,1.4210854715202004e-14,nan,nan,10000.0,0.0,0.7055867351090931
case1,PINN,rich,3,,,50049.0,0.0,0.516304671430443,0.039478930770357905,0.5179891451765828,0.03939535462094889,21.83739725748698,0.1475022748756183,218.37397257486978,1.4750227487561687,269.731072,0.0,nan,nan,10000.0,0.0,0.46987657417811535
case1,SIREN,matched,3,3730,True,3693.0,0.0,0.0029458281669490043,1.828141665930018e-05,0.015006990588690115,0.005286462563844856,14.857667764027914,0.30553547031162354,148.57667764027914,3.0553547031162354,200.459008,0.0,nan,nan,10000.0,0.0,0.002924144646160749
case1,SIREN,rich,3,,,82689.0,0.0,0.001803096450024952,5.877321035259503e-05,0.01852509983042033,0.010479688041233432,29.05215326944987,0.1174339155633235,290.5215326944987,1.174339155633235,270.84672,0.0,nan,nan,10000.0,0.0,0.0017324311218635516
case1,SPINN,matched,3,3730,True,5424.0,0.0,0.2095112707112131,0.07256161511475526,0.20964845814641095,0.07274959285148629,22.373641570409138,0.35611494079326594,223.7364157040914,3.561149407932659,134.385408,0.0,nan,nan,10000.0,0.0,0.1377816773360097
case1,SPINN,rich,3,,,82816.0,0.0,0.5469871078886176,0.09156079940179782,0.5469871078886176,0.09156079940179782,32.48353759447733,0.25400955500712596,324.8353759447734,2.540095550071284,139.824896,0.0,nan,nan,10000.0,0.0,0.47057719590795305
case1,SVSNN,best,3,,,3730.0,0.0,0.000552756734264974,0.00018017164206128488,0.0015415382995398862,0.0005347531639777904,32.67730601628622,0.4179089578083475,326.7730601628621,4.179089578083475,88.36992,0.0,nan,nan,10000.0,0.0,0.0003657986810672497
case2,ClassicalSpectral,reference,1,,,4096.0,0.0,4.363523524073456e-14,0.0,4.363523524073456e-14,0.0,0.004014253616333008,0.0,401.4253616333008,0.0,0.879104,0.0,4.014253616333008,0.0,65536.0,0.0,4.363523524073456e-14
case2,FourierPINN,matched,3,1170,True,1201.0,0.0,0.8638749166083534,0.06244630099812277,3.5573736340014324,0.28762647154584947,5.96768840154012,0.24915767754970053,59.688821779757156,2.4920751905351057,259.815168,0.0,1.9946575164794922,0.2751114666865267,10000.0,0.0,0.7756889159548642
case2,FourierPINN,rich,3,,,66177.0,0.0,0.33134880842287123,0.023193703738328582,0.33257298121260187,0.023052795874353178,17.046585003534954,0.40832522693321266,170.4999500253546,4.084069083148762,330.5017173333333,7.9088554686876344,2.8954346974690757,0.27754856757794283,10000.0,0.0,0.29859725656650293
case2,PINN,matched,3,1170,True,1217.0,0.0,0.9921718214210508,0.011493255205075532,0.9944625357292841,0.013214114488958723,5.790799776713054,0.09253197126229676,57.91958168346722,0.92550481358568,134.982144,0.0,0.7299900054931641,0.10546337083970254,10000.0,0.0,0.9759186211675056
case2,PINN,rich,3,,,50049.0,0.0,0.9904391003063314,0.005838771099333698,1.0587559488837428,0.010302854250990414,19.675859928131104,0.08183170272439201,196.79795887308566,0.8184807233885886,271.05408,0.0,1.2276490529378254,0.10576247512046091,10000.0,0.0,0.9838071914780646
case2,SIREN,matched,3,1170,True,1221.0,0.0,0.5490664421456023,0.3185923273856678,0.5620156428225579,0.31469914730303383,8.288807074228922,0.22076990452561657,82.90465167262376,2.208140673390847,289.175296,0.0,2.333545684814453,0.38106114291772236,10000.0,0.0,0.22110950422179
case2,SIREN,rich,3,,,82689.0,0.0,0.8736855938575979,0.007443859281146813,0.8736855938575979,0.007443859281146813,26.084179719289143,0.20361599999381705,260.8939759880891,2.0365673134008544,341.748224,0.0,3.155247370402018,0.18773152833252152,10000.0,0.0,0.8669421412422665
case2,SPINN,matched,3,1170,True,1164.0,0.0,0.10433830566608494,0.06071512432198264,0.10433830566608494,0.06071512432198264,11.017249345779419,0.2102836902399183,110.19453236426703,2.103257553909968,72.598016,0.0,2.8011957804361978,0.7156606858596644,10000.0,0.0,0.03864300450229669
case2,SPINN,rich,3,,,91136.0,0.0,0.4683193224759459,0.03734619680883436,0.4683193224759459,0.03734619680883436,16.823987404505413,0.3311385342037984,168.27352875080427,3.3120477515883104,140.503296,0.0,4.306983947753906,0.12123454323601271,10000.0,0.0,0.4285505526461247
case2,SVSNN,best,3,,,1170.0,0.0,0.009164175185117286,0.0010016312535230535,0.009258283258658113,0.0011168542391029007,11.308246771494547,0.31558750411696335,113.10508873269201,3.1565063424381266,89.075712,0.0,13.889877001444498,0.49331230868311665,10000.0,0.0,0.007914811534023762
case3,FourierPINN,matched,3,1171,True,1201.0,0.0,0.4961805542310079,0.06460290297711282,1.3830978373686473,0.7115195239617906,13.363849401473999,0.05475218201127684,133.63849401474,0.5475218201127684,289.469696,0.0,nan,nan,10000.0,0.0,0.40567684173583984
case3,FourierPINN,rich,3,,,66177.0,0.0,0.14049893617630005,0.002436320878969888,0.1475751449664434,0.003332117004751348,31.586462418238323,0.1608564696531829,315.86462418238324,1.6085646965318292,341.8304,0.0,nan,nan,10000.0,0.0,0.13730084896087646
case3,PINN,matched,3,1171,True,1217.0,0.0,0.46214279532432556,0.08739233277749608,0.46214279532432556,0.08739233277749608,13.923521995544434,0.31319196205053,139.23521995544434,3.1319196205053,135.20512,0.0,nan,nan,10000.0,0.0,0.34115883708000183
case3,PINN,rich,3,,,50049.0,0.0,0.2245867003997167,0.017666133473564924,0.2289531578620275,0.013061849667449065,27.94688606262207,0.2032992796302559,279.4688606262207,2.032992796302559,271.02336,0.0,nan,nan,10000.0,0.0,0.2023337483406067
case3,SIREN,matched,3,1171,True,1221.0,0.0,0.9424936374028524,0.047850147938723595,3.4310571352640786,1.2508313859722013,14.532770236333212,0.11146604083627173,145.32770236333212,1.1146604083627174,289.470976,0.0,nan,nan,10000.0,0.0,0.8750354051589966
case3,SIREN,rich,3,,,82689.0,0.0,0.12446898967027664,0.0056626179264158,0.219142884016037,0.06108182481864786,37.08990629514059,0.12629338440976243,370.8990629514058,1.2629338440976243,336.2379946666667,7.9088554686876344,nan,nan,10000.0,0.0,0.1164657399058342
case3,SPINN,matched,3,1171,True,1186.0,0.0,0.010512719241281351,0.001617708756823906,0.015072403475642204,0.005731143328842299,17.281542619069416,0.08387011435754266,172.81542619069418,0.8387011435754265,89.191424,0.0,nan,nan,10000.0,0.0,0.008379039354622364
case3,SPINN,rich,3,,,49920.0,0.0,0.013985342346131802,0.0020121688301139966,0.18342602625489235,0.11524359240491394,27.29387402534485,0.17252182152035508,272.9387402534485,1.725218215203551,157.001728,0.0,nan,nan,10000.0,0.0,0.011394782923161983
case3,SVSNN,best,3,,,1171.0,0.0,0.0019859441478426256,8.251101435154869e-05,0.0026504622461895147,0.0010078229435995314,17.447210629781086,0.38480147949825555,174.47210629781088,3.848014794982556,89.214464,0.0,nan,nan,10000.0,0.0,0.0019144248217344284
case4,FourierPINN,matched,3,1612,True,1479.0,0.0,0.009846911738619506,0.003971463698921709,0.010610541148365798,0.0034123734617280185,13.179339249928793,0.12625411916847484,131.79339249928793,1.2625411916847487,200.429312,0.0,nan,nan,10000.0,0.0,0.0065715161404790445
case4,FourierPINN,rich,3,,,66177.0,0.0,0.2966450754122601,0.07383830502081958,0.33727734189044756,0.09035242444387406,25.294782479604084,0.16497203597232793,252.94782479604086,1.649720359723288,270.515712,0.0,nan,nan,10000.0,0.0,0.20600122525675235
case4,PINN,matched,3,1612,True,1607.0,0.0,0.9996078857180689,0.013558595094374837,1.2713174585776537,0.16102987810692057,13.217393239339193,0.14358364301256227,132.17393239339194,1.4358364301256228,134.331648,0.0,nan,nan,10000.0,0.0,0.980746050513907
case4,PINN,rich,3,,,50049.0,0.0,1.0024452969404711,0.012012682333047715,1.3931248892046995,0.07633391400406121,21.699175119400024,0.29394964795490813,216.99175119400024,2.939496479549068,269.731072,0.0,nan,nan,10000.0,0.0,0.9863490341214363
case4,SIREN,matched,3,1612,True,1509.0,0.0,0.006171987526468684,0.0019576929504542344,0.008332717496220417,0.003773519785422576,14.32563885052999,0.2552325568591414,143.2563885052999,2.552325568591414,200.43059200000002,2.842170943040401e-14,nan,nan,10000.0,0.0,0.0040475485432488675
case4,SIREN,rich,3,,,82689.0,0.0,0.24064345663565642,0.03696158381773256,0.24064345663565642,0.03696158381773256,28.639793316523235,0.4306778188030331,286.39793316523236,4.30677818803033,270.84672,0.0,nan,nan,10000.0,0.0,0.19010872539067672
