case,method,budget,best_l2_mean,best_l2_std
case1,SVSNN,best,0.000552756734264974,0.00018017164206128488
case1,FourierPINN,matched,0.0019285910577276054,0.00016719670207189825
case1,SPINN,matched,0.2095112707112131,0.07256161511475526
case1,PINN,matched,0.8281582401715927,0.12464862990483783
case2,SVSNN,best,0.009164175185117286,0.0010016312535230535
case2,FourierPINN,matched,0.8638749166083534,0.06244630099812277
case2,SPINN,matched,0.10433830566608494,0.06071512432198264
case2,PINN,matched,0.9921718214210508,0.011493255205075532
case3,SVSNN,best,0.0019859441478426256,8.251101435154869e-05
case3,FourierPINN,matched,0.4961805542310079,0.06460290297711282
case3,SPINN,matched,0.010512719241281351,0.001617708756823906
case3,PINN,matched,0.46214279532432556,0.08739233277749608
case4,SVSNN,best,0.0031784668226278543,0.0011861873052138902
case4,FourierPINN,matched,0.009846911738619506,0.003971463698921709
case4,SPINN,matched,0.38796281682037254,0.2573843707033785
case4,PINN,matched,0.9996078857180689,0.013558595094374837
case5,SVSNN,best,0.011464428393927402,0.004332052787687281
case5,FourierPINN,matched,0.8347225447041443,0.1542853146063416
case5,SPINN,matched,0.03502831594694316,0.00359582367029755
case5,PINN,matched,0.9854954013993765,0.010752865060311203
case6,SVSNN,best,0.00907870668731036,0.004383017897665254
case6,FourierPINN,matched,0.48178714378036847,0.09170236110551068
case6,SPINN,matched,0.6235798167147416,0.14373616659727995
case6,PINN,matched,1.0002378598515347,4.721723343565161e-05
case7,SVSNN,best,0.0301553479330135,0.003458523689770893
case7,FourierPINN,matched,0.36236628076129246,0.2841325384177224
case7,SPINN,matched,0.12325866025123873,0.03405053892871391
case7,PINN,matched,1.4935540290855014,0.22536173501600126
case8,SVSNN,best,0.009604673123698275,0.008665603131145382
case8,FourierPINN,matched,0.3931925697749538,0.06309380026659676
case8,SPINN,matched,0.22421570356057582,0.09947676278848204
case8,PINN,matched,0.650613653687786,0.08159538164252136
case9,SVSNN,best,0.0003399946144782007,2.203287584726323e-05
case9,FourierPINN,matched,1.0431487460931141,0.04019561370819616
case9,SPINN,matched,1.0000591675440471,3.068670075605466e-05
case9,PINN,matched,0.031788233357171215,0.005934019617860665
