case,scale,n_seeds,best_l2_mean,best_l2_std,best_l2_min
case1,0.6,3,0.012747381309416314,0.011626812175501686,0.002235360357839354
case1,0.8,3,0.0009377498461104831,0.0002839447366908361,0.0005451949106320541
case1,1.0,3,0.000552756734264974,0.00018017164206128488,0.0003657986810672497
case1,1.2,3,0.0006763355501712796,7.224488408291695e-05,0.0006124170124658837
case1,1.5,3,0.0008391263025885055,0.00016972304544760422,0.0006933364282322108
case2,0.6,3,0.9741599135381573,0.030292780544942673,0.9313244194750699
case2,0.8,3,0.05567061817085394,0.01750513374602398,0.03789464375491261
case2,1.0,3,0.009164175185117286,0.0010016312535230535,0.007914811534023762
case2,1.2,3,0.014046998760162322,0.006139258312563911,0.009069077831012646
case2,1.5,3,0.014817262147551788,0.004204411325714377,0.008973405243961815
case3,0.6,3,1.0031564235687256,0.01913852619729564,0.9884931445121765
case3,0.8,3,0.40664660930633545,0.007930674274086114,0.40090250968933105
case3,1.0,3,0.0019859441478426256,8.251101435154869e-05,0.0019144248217344284
case3,1.2,3,0.31224557757377625,0.004169583552660606,0.30777791142463684
case3,1.5,3,0.9612741470336914,0.006369020728286323,0.9564595818519592
case4,0.6,3,1.4348201354182164,0.050070804502341935,1.3647977545663914
case4,0.8,3,1.299116043947485,0.01937418631692929,1.276892736020328
case4,1.0,3,0.0031784668226278543,0.0011861873052138902,0.0018465350603308207
case4,1.2,3,0.9454234495881311,0.29869355875955744,0.5243112051566934
case4,1.5,3,1.0744213911772917,0.07224228903531883,0.9722610274503094
case5,0.6,3,0.03137188560203375,0.012189525274774068,0.014176752487934517
case5,0.8,3,0.013595483911605257,0.006114603605353071,0.007789457771304534
case5,1.0,3,0.011464428393927402,0.004332052787687281,0.006664528586390781
case5,1.2,3,0.030018248793364653,0.012072828198693519,0.01706388453952773
case5,1.5,3,0.04743307614306216,0.019916363528240437,0.022676272880520522
case6,0.6,3,0.9958843372658829,0.002052757878750773,0.9940291062290264
case6,0.8,3,0.025369026128466365,0.002012958489608508,0.02391942742103956
case6,1.0,3,0.00907870668731036,0.004383017897665254,0.002922807932232778
case6,1.2,3,0.00938643362409688,0.0034480132152770585,0.004541323733391768
case6,1.5,3,0.026960257382062734,0.011459171753838196,0.015049709355431965
case7,0.6,3,0.035084312211083525,0.00618712377371913,0.026344028968539823
case7,0.8,3,0.011231167542063861,0.0037892583483935837,0.006113989493448178
case7,1.0,3,0.0301553479330135,0.003458523689770893,0.025382043435282796
case7,1.2,3,0.07285724462696462,0.011989553959924642,0.05780237778522758
case7,1.5,3,0.06563920595035454,0.011608340559337684,0.05086376179551615
case8,0.6,3,0.009116134668345141,0.008040621326531446,0.00126560469610851
case8,0.8,3,0.009275451781628847,0.008135834566724804,0.0013276487903978197
case8,1.0,3,0.009604673123698275,0.008665603131145382,0.0013496064599291082
case8,1.2,3,0.009475322291270948,0.008371286933987143,0.0013018811511048517
case8,1.5,3,0.008696124924851367,0.007400792492182234,0.0013468383034929653
case9,0.6,3,0.00035272132663521916,2.6926503681457856e-05,0.0003175088349962607
case9,0.8,3,0.00036983539757784456,5.369127244851669e-05,0.0003093715786235407
case9,1.0,3,0.0003399946144782007,2.203287584726323e-05,0.0003093715786235407
case9,1.2,3,0.0003452960809227079,2.7573249634017547e-05,0.0003175088349962607
case9,1.5,3,0.0003422309091547504,2.334931543366074e-05,0.0003093717969022691
