case,strategy,n_seeds,best_l2_mean,best_l2_std,best_l2_min
case1,default,3,0.000552756734264974,0.00018017164206128488,0.0003657986810672497
case1,S1_single,3,0.0001726638821418618,2.195906091946484e-05,0.0001498739241034104
case1,S2_two,3,0.0003992121296822869,7.589862248278908e-05,0.00033086017745931264
case1,S4_continuous,3,0.003703971248189617,0.002078541336222323,0.002145366916111528
case1,S5_40_40_20,3,0.0007718628864053322,0.0002174455870342544,0.0005350316744224121
case2,default,3,0.009164175185117286,0.0010016312535230535,0.007914811534023762
case2,S1_single,3,0.000611990581940619,0.00011120049877282234,0.0005103280319662764
case2,S2_two,3,0.05250684097092315,0.008059946737136692,0.04460047605291896
case2,S4_continuous,3,0.13551432448219766,0.03583959971982812,0.08871064517908843
case2,S5_40_40_20,3,0.05337529766352908,0.0014316107237757668,0.05162263735012485
case3,default,3,0.0019859441478426256,8.251101435154869e-05,0.0019144248217344284
case3,S1_single,3,0.39570297797520954,0.0013718831238120803,0.3939400613307953
case3,S2_two,3,0.030359178160627682,0.003852489249130271,0.025511138141155243
case3,S4_continuous,3,0.14926019310951233,0.0018154287586066792,0.14700768887996674
case3,S5_40_40_20,3,0.02876162901520729,0.004101856349887687,0.023448701947927475
case4,default,3,0.0031784668226278543,0.0011861873052138902,0.0018465350603308207
case4,S1_single,3,0.00025123711839789535,1.0744376763210547e-05,0.00023997518494700142
case4,S2_two,3,0.0037925698173931813,0.003571576979519236,0.0009490696155297499
case4,S4_continuous,3,1.3670999556787542,0.06207961298953877,1.286692451610052
case4,S5_40_40_20,3,0.00966029345272919,0.005726761775970821,0.001561632343137212
case5,default,3,0.011464428393927402,0.004332052787687281,0.006664528586390781
case5,S1_single,3,0.999983151666641,2.8296997681204957e-06,0.9999791581754376
case5,S2_two,3,0.025035493564443404,0.018735993019432642,0.009999760062416376
case5,S4_continuous,3,0.07449985360272778,0.013690991875993192,0.055190478406483494
case5,S5_40_40_20,3,0.08356140211162061,0.1095581152728317,0.005867064838847702
case6,default,3,0.00907870668731036,0.004383017897665254,0.002922807932232778
case6,S1_single,3,0.0015525116410362958,0.0005086733166865501,0.0011875969302702414
case6,S2_two,3,0.0874326407846067,0.02404176830550515,0.05534275139323167
case6,S4_continuous,3,0.24691993416054578,0.10276704805545027,0.10614925627632696
case6,S5_40_40_20,3,0.07652493031406797,0.014339153333861342,0.060560605346436376
case7,default,3,0.0301553479330135,0.003458523689770893,0.025382043435282796
case7,S1_single,3,0.00016091574988368108,5.961836238596799e-06,0.0001547636428719865
case7,S2_two,3,0.014245085613181852,0.0017649714819920627,0.012212186455912002
case7,S4_continuous,3,0.06519507392320163,0.007044893241765526,0.05919741637586974
case7,S5_40_40_20,3,0.014833982307865166,0.0006632019939714019,0.013988808365907992
case8,default,3,0.009604673123698275,0.008665603131145382,0.0013496064599291082
case8,S1_single,3,0.009240158349118394,0.008168205539558883,0.001286667233362395
case8,S2_two,3,0.009860689437877275,0.009054494653188987,0.0011420756482626807
case8,S4_continuous,3,0.010252129835610455,0.009400887237285462,0.001199721876678634
case8,S5_40_40_20,3,0.009172619895015976,0.008148507663761212,0.001231363472599726
case9,default,3,0.0003399946144782007,2.203287584726323e-05,0.0003093715786235407
case9,S1_single,3,0.00034858314029406756,3.381312272206428e-05,0.0003025773330591619
case9,S2_two,3,0.0003391558808895449,2.127915295086394e-05,0.0003093717823503539
case9,S4_continuous,3,0.0003535604919306934,2.7109505096171862e-05,0.0003175088349962607
case9,S5_40_40_20,3,0.00032954931278557825,4.123425815576679e-05,0.0002713267458602786
