case,strategy,level,scale,n_seeds,best_l2_mean,best_l2_std,best_l2_min
case1,default,3-level (multi),0.6,3,0.012747381309416314,0.011626812175501686,0.002235360357839354
case1,default,3-level (multi),1.0,3,0.0005527567342649739,0.00018017164206128488,0.0003657986810672497
case1,default,3-level (multi),1.5,3,0.0008391263025885056,0.00016972304544760422,0.0006933364282322108
case1,S2_two,2-level,0.6,3,0.9572461887940887,0.0022680615328884344,0.9545270562919614
case1,S2_two,2-level,1.0,3,0.0003992121296822869,7.589862248278908e-05,0.00033086017745931264
case1,S2_two,2-level,1.5,3,0.3520535813958332,0.19203946654228693,0.13726605104761652
case1,S1_single,1-level,0.6,3,1.0000558382227953,6.686026439861258e-05,1.0000041278176564
case1,S1_single,1-level,1.0,3,0.00017266388214186177,2.195906091946484e-05,0.0001498739241034104
case1,S1_single,1-level,1.5,3,1.0000672249763853,1.9240517590859955e-05,1.000047608530773
case2,default,3-level (multi),0.6,3,0.9741599135381575,0.030292780544942676,0.9313244194750699
case2,default,3-level (multi),1.0,3,0.009164175185117284,0.0010016312535230535,0.007914811534023762
case2,default,3-level (multi),1.5,3,0.014817262147551786,0.004204411325714377,0.008973405243961815
case2,S2_two,2-level,0.6,3,1.0039486015813595,0.0015181246049480023,1.0023355797116342
case2,S2_two,2-level,1.0,3,0.05250684097092316,0.008059946737136692,0.04460047605291896
case2,S2_two,2-level,1.5,3,0.09213801148099998,0.057640901940863506,0.021254911246688334
case2,S1_single,1-level,0.6,3,1.0000471190676155,3.694807266659097e-07,1.0000465979103863
case2,S1_single,1-level,1.0,3,0.000611990581940619,0.00011120049877282234,0.0005103280319662764
case2,S1_single,1-level,1.5,3,1.0000000001874885,3.511910964144309e-11,1.0000000001529894
case3,default,3-level (multi),0.6,3,1.0031564235687256,0.01913852619729564,0.9884931445121765
case3,default,3-level (multi),1.0,3,0.0019859441478426256,8.251101435154869e-05,0.0019144248217344284
case3,default,3-level (multi),1.5,3,0.9612741470336914,0.006369020728286323,0.9564595818519592
case3,S2_two,2-level,0.6,3,0.9972480336825053,0.010078695117042702,0.9842511415481567
case3,S2_two,2-level,1.0,3,0.030359178160627682,0.0038524892491302704,0.025511138141155243
case3,S2_two,2-level,1.5,3,0.04936154062549273,0.0017217857756313371,0.04693823307752609
case3,S1_single,1-level,0.6,3,1.004411518573761,0.01942162322978262,0.9893203973770142
case3,S1_single,1-level,1.0,3,0.39570297797520954,0.0013718831238120803,0.3939400613307953
case3,S1_single,1-level,1.5,3,0.995262622833252,0.0024300381502078174,0.9930344820022583
case4,default,3-level (multi),0.6,3,1.4348201354182164,0.050070804502341935,1.3647977545663914
case4,default,3-level (multi),1.0,3,0.0031784668226278543,0.0011861873052138902,0.0018465350603308207
case4,default,3-level (multi),1.5,3,1.074421391177292,0.07224228903531883,0.9722610274503094
case4,S2_two,2-level,0.6,3,1.3804487599072761,0.03812979150901006,1.340134834041138
case4,S2_two,2-level,1.0,3,0.0037925698173931813,0.0035715769795192365,0.0009490696155297499
case4,S2_two,2-level,1.5,3,0.45909320090497363,0.010524872480233273,0.4442905801393635
case4,S1_single,1-level,0.6,3,1.0019564407562165,0.002022366723565303,1.0001310076949625
case4,S1_single,1-level,1.0,3,0.00025123711839789535,1.0744376763210547e-05,0.00023997518494700142
case4,S1_single,1-level,1.5,3,1.001237717549578,0.0005484096321770697,1.000613799433665
case5,default,3-level (multi),0.6,3,0.03137188560203375,0.012189525274774068,0.014176752487934517
case5,default,3-level (multi),1.0,3,0.011464428393927402,0.004332052787687281,0.006664528586390781
case5,default,3-level (multi),1.5,3,0.04743307614306216,0.019916363528240437,0.022676272880520522
case5,S2_two,2-level,0.6,3,0.11130675205992833,0.019409144999273653,0.08450256036578227
case5,S2_two,2-level,1.0,3,0.025035493564443404,0.018735993019432642,0.009999760062416376
