# iter	time	total_loss	pde_loss	bc_loss	mse	rl2
0.00000000e+00	2.06386156e+01	7.30462646e+01	6.81386566e+01	4.90760565e-01	1.98477224e-01	1.97025490e+00
5.00000000e+02	2.15152259e+01	3.32525969e-02	1.42156072e-02	1.90369901e-03	3.29000056e-02	8.14761579e-01
1.00000000e+03	2.24176011e+01	5.42591400e-02	8.36941879e-03	4.58897185e-03	3.73750106e-02	8.16001236e-01
1.50000000e+03	2.33069274e+01	1.53281307e-02	7.87352864e-03	7.45460216e-04	3.87835763e-02	8.46620858e-01
2.00000000e+03	2.42239850e+01	2.89100427e-02	1.34592447e-02	1.54507975e-03	3.73406149e-02	8.30960035e-01
2.50000000e+03	2.50833089e+01	1.56345740e-01	6.39156811e-03	1.49954166e-02	3.74595299e-02	8.43434334e-01
3.00000000e+03	2.59381938e+01	1.05251009e-02	3.37585271e-03	7.14924827e-04	3.62496749e-02	8.48699868e-01
3.50000000e+03	2.68265734e+01	2.26137657e-02	1.48217874e-02	7.79197842e-04	3.76905017e-02	8.54395986e-01
4.00000000e+03	2.76882246e+01	1.99354477e-02	4.04619379e-03	1.58892537e-03	3.66314575e-02	8.39937747e-01
4.50000000e+03	2.85456281e+01	3.35215628e-02	7.35251606e-03	2.61690468e-03	3.77091356e-02	8.73419166e-01
5.00000000e+03	2.94244750e+01	2.30557695e-02	1.10947294e-02	1.19610410e-03	3.64084654e-02	8.62939954e-01
5.50000000e+03	3.02944088e+01	6.94675930e-03	2.19946634e-03	4.74729284e-04	3.85454409e-02	8.72941673e-01
6.00000000e+03	3.11983745e+01	1.28090773e-02	3.96474544e-03	8.84433161e-04	3.73650379e-02	8.48958850e-01
6.50000000e+03	3.20626872e+01	3.31757143e-02	3.31432023e-03	2.98613939e-03	3.53505649e-02	7.98359334e-01
7.00000000e+03	3.28488302e+01	1.58516765e-02	6.02327520e-03	9.82840080e-04	2.99602374e-02	7.65484035e-01
7.50000000e+03	3.36970291e+01	9.42529179e-03	7.61808362e-03	1.80720817e-04	2.63888687e-02	7.14152813e-01
8.00000000e+03	3.45534096e+01	6.03068946e-03	4.86128777e-03	1.16940180e-04	2.58419849e-02	7.04873860e-01
8.50000000e+03	3.54459138e+01	5.21381944e-02	8.88518617e-03	4.32530092e-03	2.25145724e-02	6.55234694e-01
9.00000000e+03	3.63368900e+01	9.30083357e-03	4.21075989e-03	5.09007310e-04	2.09879428e-02	6.23302281e-01
9.50000000e+03	3.72286596e+01	1.04135014e-02	1.75769860e-03	8.65580281e-04	1.97170135e-02	6.08034313e-01
1.00000000e+04	3.81405115e+01	3.66922840e-02	7.82322325e-03	2.88690603e-03	1.69536807e-02	5.79113662e-01
1.05000000e+04	3.90090923e+01	4.90884669e-03	3.47232935e-03	1.43651734e-04	1.74383875e-02	5.86748123e-01
1.10000000e+04	3.98785253e+01	1.11092851e-02	3.10620083e-03	8.00308422e-04	1.78285427e-02	5.87398946e-01
1.15000000e+04	4.07781796e+01	5.62770432e-03	1.78325351e-03	3.84445069e-04	1.79766454e-02	5.71483731e-01
1.20000000e+04	4.16619592e+01	5.41580655e-03	2.21827277e-03	3.19753366e-04	1.49754016e-02	5.26847303e-01
1.25000000e+04	4.25430653e+01	1.15411235e-02	9.93630476e-03	1.60481883e-04	1.24483397e-02	4.89432395e-01
1.30000000e+04	4.34165032e+01	3.58079653e-03	2.10996740e-03	1.47082901e-04	1.29523110e-02	4.93552208e-01
1.35000000e+04	4.42665036e+01	2.37223599e-03	1.65905210e-03	7.13183981e-05	1.68671235e-02	5.75972676e-01
1.40000000e+04	4.51442447e+01	3.92273068e-02	2.37553082e-02	1.54719967e-03	1.12715783e-02	4.91012365e-01
1.45000000e+04	4.60494518e+01	2.97818868e-03	2.27874285e-03	6.99445882e-05	1.60139166e-02	5.67218482e-01
1.50000000e+04	4.69462392e+01	5.48387831e-03	1.87491917e-03	3.60895938e-04	1.25221889e-02	4.76781338e-01
1.55000000e+04	4.78285451e+01	2.64905090e-03	1.77558465e-03	8.73466197e-05	1.13219591e-02	4.60931838e-01
1.60000000e+04	4.86808844e+01	3.45852110e-03	1.68795581e-03	1.77056529e-04	2.12079864e-02	6.30600750e-01
1.65000000e+04	4.95504589e+01	3.27194389e-03	9.36654396e-04	2.33528946e-04	2.62777731e-02	6.90654874e-01
1.70000000e+04	5.04267612e+01	4.27637715e-03	1.19335076e-03	3.08302639e-04	2.59204470e-02	7.05082119e-01
1.75000000e+04	5.13141139e+01	4.24526725e-03	1.71179394e-03	2.53347360e-04	2.19208952e-02	6.40688717e-01
