# epoch	total_loss	mse_cont	mse_mom_x	mse_mom_y	mse_bc	l2_u	l2_v	l2_p
1.00000000e+00	1.55092645e+00	2.29997542e-02	1.07885087e-02	3.85147496e-03	1.51328671e+00	6.73526883e-01	1.60793626e+00	8.76058280e-01
1.00000000e+02	4.54902053e-02	9.94459074e-03	1.27051421e-03	4.49496176e-04	3.38256061e-02	9.55091953e-01	9.64040279e-01	9.99252737e-01
2.00000000e+02	3.28051560e-02	1.28782485e-02	1.77615811e-03	3.43068852e-04	1.78076811e-02	9.67492282e-01	9.68946874e-01	1.01660025e+00
3.00000000e+02	2.83125043e-02	1.33303963e-02	1.13253319e-03	3.66230117e-04	1.34833455e-02	9.81332779e-01	9.71131861e-01	1.02001870e+00
4.00000000e+02	2.55542416e-02	1.39083434e-02	7.99905101e-04	3.33237753e-04	1.05127553e-02	9.79827106e-01	9.68251646e-01	1.02907836e+00
5.00000000e+02	2.26752162e-02	1.31560117e-02	6.56725781e-04	2.69715179e-04	8.59276392e-03	9.76694643e-01	9.58681583e-01	1.03454745e+00
6.00000000e+02	2.20414251e-02	1.35154137e-02	6.77815755e-04	2.41526126e-04	7.60666840e-03	9.69911754e-01	9.46511030e-01	1.03737962e+00
7.00000000e+02	2.10983660e-02	1.30355312e-02	7.02116638e-04	2.46306008e-04	7.11441180e-03	9.60744441e-01	9.34574485e-01	1.03777909e+00
8.00000000e+02	2.12376583e-02	1.33648887e-02	7.70146900e-04	2.82254128e-04	6.82036858e-03	9.59990859e-01	9.22917902e-01	1.03741491e+00
9.00000000e+02	2.04247478e-02	1.25674102e-02	7.62836717e-04	2.99168052e-04	6.79533230e-03	9.61918056e-01	9.13042665e-01	1.03642416e+00
1.00000000e+03	2.13116594e-02	1.35985017e-02	8.09826830e-04	3.20476131e-04	6.58285432e-03	9.46339130e-01	9.04085517e-01	1.03673053e+00
1.10000000e+03	2.01277286e-02	1.22139640e-02	8.16600572e-04	3.59989324e-04	6.73717353e-03	9.60957289e-01	8.94744575e-01	1.03511977e+00
1.20000000e+03	2.03421880e-02	1.24867670e-02	8.46532581e-04	3.93497117e-04	6.61539100e-03	9.56585765e-01	8.88668299e-01	1.03512228e+00
1.30000000e+03	2.02861819e-02	1.25348251e-02	8.83935310e-04	4.23912978e-04	6.44350937e-03	9.56400454e-01	8.80810797e-01	1.03668725e+00
1.40000000e+03	2.00452022e-02	1.24074686e-02	8.99817445e-04	4.55076981e-04	6.28283946e-03	9.52697456e-01	8.76606822e-01	1.03617585e+00
1.50000000e+03	2.06547603e-02	1.30157303e-02	8.94375611e-04	4.99933376e-04	6.24472089e-03	9.41887081e-01	8.73948038e-01	1.03715730e+00
1.60000000e+03	1.97257418e-02	1.21018048e-02	8.85430141e-04	4.82854550e-04	6.25565322e-03	9.36709285e-01	8.66890609e-01	1.03757763e+00
1.70000000e+03	1.94871128e-02	1.17736794e-02	9.44651314e-04	5.22649265e-04	6.24613324e-03	9.55104411e-01	8.62961888e-01	1.03631413e+00
1.80000000e+03	1.91500802e-02	1.13789961e-02	9.02939937e-04	5.00987342e-04	6.36715675e-03	9.46540713e-01	8.59476924e-01	1.03723669e+00
1.90000000e+03	1.93872619e-02	1.20162349e-02	9.14461969e-04	5.20850765e-04	5.93571458e-03	9.41959739e-01	8.57985020e-01	1.03603888e+00
2.00000000e+03	1.91841926e-02	1.15771815e-02	9.07204347e-04	5.16189553e-04	6.18361728e-03	9.45257902e-01	8.54691029e-01	1.03755724e+00
2.10000000e+03	1.98694356e-02	1.23275379e-02	9.68803070e-04	5.39175584e-04	6.03391882e-03	9.40785348e-01	8.51953268e-01	1.03747582e+00
2.20000000e+03	1.90563016e-02	1.15896519e-02	9.67642933e-04	5.45887859e-04	5.95311821e-03	9.49303329e-01	8.48087847e-01	1.03588450e+00
2.30000000e+03	1.86223667e-02	1.09913480e-02	1.00505794e-03	5.12132072e-04	6.11382956e-03	9.48495030e-01	8.43288720e-01	1.03444314e+00
2.40000000e+03	1.95226837e-02	1.17943110e-02	1.01019896e-03	5.61327441e-04	6.15684595e-03	9.46890593e-01	8.40636075e-01	1.03378296e+00
2.50000000e+03	1.96237527e-02	1.06061390e-02	1.07236416e-03	5.74852282e-04	7.37039698e-03	9.70023274e-01	8.34914625e-01	1.03168297e+00
2.60000000e+03	1.87487490e-02	1.12202577e-02	1.07769063e-03	5.36238367e-04	5.91456145e-03	9.42965508e-01	8.33003759e-01	1.03220749e+00
2.70000000e+03	1.89989451e-02	1.12425284e-02	1.05449895e-03	5.32520819e-04	6.16939738e-03	9.40401495e-01	8.30288887e-01	1.03060579e+00
2.80000000e+03	1.90863945e-02	1.18563641e-02	1.16248685e-03	5.28264616e-04	5.53928036e-03	9.34674442e-01	8.27469826e-01	1.03133893e+00
2.90000000e+03	1.93190034e-02	1.17491670e-02	1.14757044e-03	5.78970707e-04	5.84329525e-03	9.33975816e-01	8.23338389e-01	1.02989459e+00
3.00000000e+03	1.87927336e-02	1.11376280e-02	1.21931895e-03	5.66419854e-04	5.86936530e-03	9.47894871e-01	8.21390808e-01	1.02793312e+00
3.10000000e+03	1.86256748e-02	1.14924069e-02	1.21575547e-03	5.71535318e-04	5.34597691e-03	9.31589007e-01	8.19183648e-01	1.02679777e+00
3.20000000e+03	1.84481628e-02	1.10321175e-02	1.22068054e-03	5.48117794e-04	5.64724719e-03	9.29622889e-01	8.13535511e-01	1.02727926e+00
3.30000000e+03	1.86124463e-02	1.08202053e-02	1.33428909e-03	5.81670669e-04	5.87628176e-03	9.33904231e-01	8.11184704e-01	1.02498662e+00
3.40000000e+03	1.80371720e-02	1.02852266e-02	1.34182221e-03	6.29145827e-04	5.78097673e-03	9.27161336e-01	8.07573795e-01	1.02232206e+00
3.50000000e+03	1.85417999e-02	1.11616449e-02	1.48611772e-03	6.18565420e-04	5.27547160e-03	9.09409642e-01	8.00932109e-01	1.02059066e+00
3.60000000e+03	1.78860985e-02	1.06906649e-02	1.52310333e-03	5.97106118e-04	5.07522281e-03	9.07339334e-01	7.98866570e-01	1.01906168e+00
3.70000000e+03	1.82169862e-02	1.02404552e-02	1.67187920e-03	6.90011773e-04	5.61464112e-03	9.19720292e-01	7.92937577e-01	1.01759112e+00
3.80000000e+03	1.82498544e-02	1.06181856e-02	1.77319103e-03	6.79208373e-04	5.17926970e-03	9.05814826e-01	7.87338734e-01	1.01569951e+00
3.90000000e+03	1.78548228e-02	1.03861354e-02	1.90202019e-03	6.74372364e-04	4.89229476e-03	9.03830707e-01	7.84954369e-01	1.01357985e+00
4.00000000e+03	1.78636797e-02	1.05855623e-02	1.92696380e-03	6.66897395e-04	4.68425592e-03	8.94666970e-01	7.87231445e-01	1.01198459e+00
4.10000000e+03	1.80704668e-02	1.06419083e-02	2.09608418e-03	6.74605428e-04	4.65786923e-03	8.87306571e-01	7.86153853e-01	1.01138783e+00
4.20000000e+03	1.76074542e-02	1.01042753e-02	1.99373439e-03	6.35469449e-04	4.87397471e-03	8.92200351e-01	7.83930719e-01	1.01050568e+00
4.30000000e+03	1.72515307e-02	1.00772241e-02	2.03771424e-03	6.34993950e-04	4.50159842e-03	8.88102829e-01	7.82617986e-01	1.00725496e+00
4.40000000e+03	1.80378668e-02	9.94634721e-03	2.07194057e-03	7.21912540e-04	5.29766595e-03	8.96414816e-01	7.81237304e-01	1.01170635e+00
4.50000000e+03	1.75812282e-02	9.97161120e-03	1.96953234e-03	7.04712293e-04	4.93537355e-03	8.89296770e-01	7.83514857e-01	1.00791407e+00
4.60000000e+03	1.73661672e-02	1.00528020e-02	2.09014537e-03	6.52580988e-04	4.57063969e-03	8.86975348e-01	7.80955255e-01	1.00872958e+00
4.70000000e+03	1.74615216e-02	9.81737766e-03	2.11100653e-03	6.64425956e-04	4.86871181e-03	8.80299449e-01	7.81053245e-01	1.00857341e+00
4.80000000e+03	1.76810697e-02	1.00392625e-02	2.01769546e-03	6.82684185e-04	4.94142715e-03	8.80319595e-01	7.81366527e-01	1.00694263e+00
